,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
3972,3972,3155363.262,17:21:49:360,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f0360d01e839ef75f5e2275fc1d71dae_1280x1024.jpg
3973,3973,3155369.067,17:21:49:366,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,1.8587,453.2206,-42.1317,474.613,-,-,-,-,-,-,-,-,-0.2371,0.2618,-0.9356,-0.2324,0.2243,-0.9464,-6.5832,0.7679,610.648,-63.0134,11.2791,615.9485,669.8792,503.4636,889.0587,463.3478,0,-,-,-,-,-,-,-,-
3974,3974,3155385.764,17:21:49:383,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,3.4067,456.3489,-43.6221,476.7939,-,-,-,-,-,-,-,-,-0.2316,0.2601,-0.9374,-0.2348,0.2227,-0.9462,-6.5399,0.8631,611.0705,-62.9464,11.3088,615.6308,669.5836,503.1298,888.9726,463.2382,0,-,-,-,-,-,-,-,-
3975,3975,3155402.461,17:21:49:399,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,0.9702,458.6819,-44.864,476.651,-,-,-,-,-,-,-,-,-0.2338,0.2583,-0.9373,-0.2359,0.2266,-0.945,-6.4855,0.9456,611.3907,-62.871,11.3245,614.9219,669.3966,502.8445,888.9884,463.0464,0,-,-,-,-,-,-,-,-
3976,3976,3155419.159,17:21:49:416,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,0.3145,460.0311,-45.6866,475.9711,-,-,-,-,-,-,-,-,-0.2314,0.2584,-0.9379,-0.235,0.2313,-0.9441,-6.4826,0.9889,611.1363,-62.8546,11.3317,614.4071,669.3522,502.6691,889.1159,462.8873,0,-,-,-,-,-,-,-,-
3977,3977,3155435.856,17:21:49:433,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,1.8215,458.3905,-45.1217,476.8842,-,-,-,-,-,-,-,-,-0.2297,0.2621,-0.9373,-0.2355,0.2253,-0.9454,-6.5129,1.0172,610.8993,-62.8931,11.3585,614.1579,669.4491,502.4835,889.3798,462.8787,0,-,-,-,-,-,-,-,-
3978,3978,3155452.554,17:21:49:449,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,1.6572,457.0887,-43.9021,475.5683,-,-,-,-,-,-,-,-,-0.2311,0.2635,-0.9366,-0.2306,0.2297,-0.9456,-6.55,1.0629,611.2738,-63.0367,11.3928,614.7979,669.6038,502.2841,889.5842,462.7122,0,-,-,-,-,-,-,-,-
3979,3979,3155469.251,17:21:49:466,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,1,1,2.8451,460.2865,-42.6267,475.3788,-,-,-,-,-,-,-,-,-0.2294,0.2545,-0.9395,-0.2309,0.2308,-0.9452,-6.5994,1.1482,610.2609,-63.0422,11.4065,613.9346,669.8137,502.1072,889.9653,462.5685,0,-,-,-,-,-,-,-,-
3980,3980,3155485.948,17:21:49:483,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Saccade,Saccade,1,1,19.3679,459.6687,-17.4182,477.1696,-,-,-,-,-,-,-,-,-0.2086,0.258,-0.9434,-0.2046,0.2231,-0.9531,-6.4335,1.2055,610.3667,-62.942,11.4826,613.7822,668.758,501.8181,889.1425,462.4079,0,-,-,-,-,-,-,-,-
3981,3981,3155502.646,17:21:49:499,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Saccade,Saccade,1,1,303.8655,446.8505,238.772,435.0265,-,-,-,-,-,-,-,-,-0.0981,0.2877,-0.9527,-0.1067,0.2649,-0.9584,-5.9937,1.386,610.1429,-62.468,11.5744,613.5826,664.9202,500.5405,885.508,461.2401,0,-,-,-,-,-,-,-,-
3982,3982,3155519.343,17:21:49:516,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,2,2,322.3059,405.7932,302.1812,399.0459,-,-,-,-,-,-,-,-,-0.0837,0.3032,-0.9493,-0.0731,0.2728,-0.9593,-5.931,1.4637,610.6941,-62.4356,11.6807,614.0785,664.3756,499.948,884.5411,460.7162,0,-,-,-,-,-,-,-,-
3983,3983,3155536.04,17:21:49:533,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,2,2,332.9873,392.052,305.6784,390.9661,-,-,-,-,-,-,-,-,-0.0787,0.3052,-0.949,-0.0736,0.2744,-0.9588,-5.9839,1.4971,609.7275,-62.3946,11.6754,612.7422,664.5283,499.7582,884.9276,460.5951,0,-,-,-,-,-,-,-,-
3984,3984,3155552.738,17:21:49:549,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,2,2,338.3151,394.5886,314.7595,384.7651,-,-,-,-,-,-,-,-,-0.0772,0.3009,-0.9505,-0.0655,0.277,-0.9586,-5.9951,1.619,608.8306,-62.4978,11.7459,612.5407,664.5791,499.3457,885.2578,460.2521,0,-,-,-,-,-,-,-,-
3985,3985,3155569.435,17:21:49:566,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,2,2,342.6015,390.9836,316.3885,378.6117,-,-,-,-,-,-,-,-,-0.0753,0.3016,-0.9505,-0.0677,0.2814,-0.9572,-6.0103,1.6963,607.448,-62.4654,11.7863,611.7026,664.6605,498.9989,885.5092,459.9392,0,-,-,-,-,-,-,-,-
3986,3986,3155586.132,17:21:49:583,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,2,2,343.6169,383.1241,315.6702,382.6377,-,-,-,-,-,-,-,-,-0.0773,0.3072,-0.9485,-0.0708,0.2735,-0.9593,-6.005,1.7455,606.319,-62.4024,11.8585,610.4074,664.7263,498.672,885.8517,459.6967,0,-,-,-,-,-,-,-,-
3987,3987,3155602.83,17:21:49:600,Trial002,1 coucou D.png,0,2893.336,57,MediumSlateBlue,99.6543,Eye,Fixation,Fixation,2,2,343.5492,386.8736,315.2336,382.4117,-,-,-,-,-,-,-,-,-0.0793,0.3007,-0.9504,-0.0718,0.2733,-0.9592,-5.9812,1.8452,605.6981,-62.374,11.9035,609.8346,664.697,498.3904,885.9928,459.4746,0,-,-,-,-,-,-,-,-
