,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
19937,19937,5434131.085,12:56:24:865,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 devant.jpg
19938,19938,5434139.852,12:56:24:874,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19939,19939,5434183.859,12:56:24:918,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19940,19940,5434227.85,12:56:24:962,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19941,19941,5434271.978,12:56:25:006,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19942,19942,5434315.979,12:56:25:050,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19943,19943,5434360.047,12:56:25:094,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19944,19944,5434404.112,12:56:25:138,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19945,19945,5434448.098,12:56:25:182,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19946,19946,5434492.1,12:56:25:226,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19947,19947,5434536.225,12:56:25:270,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19948,19948,5434580.222,12:56:25:314,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19949,19949,5434624.222,12:56:25:358,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19950,19950,5434668.346,12:56:25:402,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19951,19951,5434712.345,12:56:25:446,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19952,19952,5434756.346,12:56:25:490,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19953,19953,5434800.47,12:56:25:534,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19954,19954,5434844.469,12:56:25:578,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19955,19955,5434888.468,12:56:25:622,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19956,19956,5434932.593,12:56:25:667,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19957,19957,5434976.595,12:56:25:711,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19958,19958,5435020.593,12:56:25:755,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19959,19959,5435064.716,12:56:25:799,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19960,19960,5435108.716,12:56:25:843,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19961,19961,5435152.715,12:56:25:887,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19962,19962,5435196.839,12:56:25:931,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19963,19963,5435240.837,12:56:25:975,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19964,19964,5435284.837,12:56:26:019,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19965,19965,5435328.96,12:56:26:063,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19966,19966,5435372.96,12:56:26:107,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19967,19967,5435416.956,12:56:26:151,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19968,19968,5435461.083,12:56:26:195,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19969,19969,5435505.084,12:56:26:239,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19970,19970,5435549.081,12:56:26:283,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19971,19971,5435593.205,12:56:26:327,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19972,19972,5435637.204,12:56:26:371,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19973,19973,5435681.203,12:56:26:415,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19974,19974,5435725.326,12:56:26:459,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19975,19975,5435769.325,12:56:26:503,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19976,19976,5435813.326,12:56:26:547,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19977,19977,5435857.449,12:56:26:591,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19978,19978,5435901.448,12:56:26:635,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19979,19979,5435945.449,12:56:26:679,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19980,19980,5435989.571,12:56:26:723,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19981,19981,5436033.57,12:56:26:767,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19982,19982,5436077.571,12:56:26:811,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19983,19983,5436121.695,12:56:26:856,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19984,19984,5436165.693,12:56:26:900,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Blink,Blink,1,1,3.8635,4.2320,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19985,19985,5436321.611,12:56:27:056,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Fixation,Fixation,1,1,4.6745,4.7069,968.2175,313.5369,968.2175,313.5369,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19986,19986,5436341.482,12:56:27:075,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Fixation,Fixation,1,1,4.6749,4.6460,1000.0258,323.5387,1000.0258,323.5387,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
19987,19987,5436361.478,12:56:27:095,Trial003,03 devant.jpg,0.0,2886.755,45,DarkGreen,24.9415,Eye,Fixation,Fixation,1,1,4.6692,4.6708,983.7127,285.8691,983.7127,285.8691,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
