,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],groupe d'enfants,Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
33152,33152,496416.261,17:32:42:008,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81253c30cfbaa6c85caec3e60c0f192a.avi
33153,33153,496422.238,17:32:42:014,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
33154,33154,496438.823,17:32:42:031,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
33155,33155,496455.409,17:32:42:047,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,22.2784,22.2784,4.5431,21.5740,21.5740,4.4816,325.4596,650.2491,325.7175,672.4579,-0.0902,0.2059,-0.9744,-0.0994,0.2161,-0.9713,-13.8141,-0.0454,500.1292,-61.8429,-7.8347,502.4085,707.9236,506.9017,937.3298,543.8978,-,-,-,-,-,-,-,-
33156,33156,496471.994,17:32:42:064,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,22.0241,22.0241,4.5402,21.8168,21.8168,4.4940,326.6810,651.8114,328.7891,672.8291,-0.0893,0.2023,-0.9752,-0.0958,0.2157,-0.9718,-13.4833,0.0020,500.2247,-61.7946,-7.7838,503.8901,706.3032,506.7607,936.1317,543.5701,-,-,-,-,-,-,-,-
33157,33157,496488.58,17:32:42:080,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,21.7270,21.7270,4.5265,21.8482,21.8482,4.5073,329.9409,648.1369,329.2030,674.6447,-0.0854,0.2061,-0.9748,-0.0968,0.2127,-0.9723,-13.2118,0.0779,500.0480,-61.7277,-7.7552,505.1254,704.9320,506.3057,935.1071,543.4253,-,-,-,-,-,-,-,-
33158,33158,496505.165,17:32:42:097,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,21.9671,21.9671,4.5233,21.9173,21.9173,4.5221,327.9886,649.2582,328.6190,673.3635,-0.0937,0.2025,-0.9748,-0.0989,0.2156,-0.9715,-12.9306,0.2742,499.4974,-61.6256,-7.7371,505.9853,703.8480,505.4394,934.1614,543.2172,-,-,-,-,-,-,-,-
33159,33159,496521.75,17:32:42:113,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,21.8283,21.8283,4.5152,21.8911,21.8911,4.5348,329.4533,645.3441,326.8873,667.1221,-0.0883,0.2100,-0.9737,-0.1029,0.2233,-0.9693,-12.7048,0.4617,499.3190,-61.5460,-7.7403,506.8885,702.6567,504.3602,933.3433,542.9949,-,-,-,-,-,-,-,-
33160,33160,496538.336,17:32:42:130,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,21.9120,21.9120,4.5111,21.8193,21.8193,4.5438,328.9863,641.5631,324.9333,666.1790,-0.0927,0.2141,-0.9724,-0.1054,0.2211,-0.9695,-12.5068,0.6974,498.9815,-61.4920,-7.7546,507.7325,701.8508,503.1237,932.6513,543.0600,-,-,-,-,-,-,-,-
33161,33161,496554.921,17:32:42:147,Trial001,VNVG151201b.avi,0.0,49048.746,TD,59,DarkGray,74.2119,Eye,Fixation,Fixation,1,1,21.8173,21.8173,4.5042,21.8827,21.8827,4.5553,329.6183,638.5117,325.6201,665.7997,-0.0902,0.2156,-0.9723,-0.0986,0.2191,-0.9707,-12.3825,0.9243,498.9749,-61.5352,-7.7784,508.8360,701.1944,501.9975,932.0593,543.1502,-,-,-,-,-,-,-,-
