,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
904,904,1157011.013,13:09:10:832,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bonbons triste vs joie.avi
905,905,1157016.476,13:09:10:837,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.6758,14.6758,3.9221,381.6587,271.5675,-,-,-,-,0.0000,0.0000,0.0000,-38.9207,-28.5811,733.2274,852.9363,604.1297,-,-,-,-,-,-,-,-
906,906,1157036.485,13:09:10:857,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.5121,14.5121,3.8779,382.6669,269.9349,-,-,-,-,0.0000,0.0000,0.0000,-38.8912,-28.6248,733.0249,852.8031,604.2624,-,-,-,-,-,-,-,-
907,907,1157056.355,13:09:10:877,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.6227,14.6227,3.9061,388.7358,264.1996,-,-,-,-,0.0000,0.0000,0.0000,-38.8807,-28.6168,732.8380,852.8960,604.2141,-,-,-,-,-,-,-,-
908,908,1157076.248,13:09:10:897,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.5697,14.5697,3.8891,389.2477,261.3199,-,-,-,-,0.0000,0.0000,0.0000,-38.8235,-28.6083,732.2755,852.8605,604.0943,-,-,-,-,-,-,-,-
909,909,1157096.139,13:09:10:917,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.6570,14.6570,3.9091,380.8176,253.9772,-,-,-,-,0.0000,0.0000,0.0000,-38.7927,-28.5867,731.7260,852.9236,604.1784,-,-,-,-,-,-,-,-
910,910,1157115.976,13:09:10:937,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.8979,14.8979,3.9657,384.4881,252.5918,-,-,-,-,0.0000,0.0000,0.0000,-38.7625,-28.5514,730.4695,853.0588,604.0862,-,-,-,-,-,-,-,-
911,911,1157135.861,13:09:10:957,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.9374,14.9374,3.9701,388.3021,245.6869,-,-,-,-,0.0000,0.0000,0.0000,-38.7100,-28.5328,729.3820,853.0834,604.1276,-,-,-,-,-,-,-,-
912,912,1157155.733,13:09:10:977,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.3678,14.3678,3.8193,395.7512,253.9238,-,-,-,-,0.0000,0.0000,0.0000,-38.7290,-28.5685,729.0779,852.9131,604.4898,-,-,-,-,-,-,-,-
913,913,1157175.602,13:09:10:997,Trial003,03 bonbons triste vs joie.avi,0.0,16802.216,11,Coral,71.7762,Eye,Fixation,1,14.8378,14.8378,3.9424,380.2477,265.5305,-,-,-,-,0.0000,0.0000,0.0000,-38.7122,-28.5910,729.0714,853.1376,604.8141,-,-,-,-,-,-,-,-
