,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
17174,17174,5446333.701,13:33:07:180,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b joie triste.jpg
17175,17175,5446351.338,13:33:07:198,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.2078,14.2078,3.4013,610.7045,483.0922,White Space,,Local,7,0.0000,0.0000,0.0000,-13.7412,7.8361,657.7368,769.1622,474.1196,-,-,-,-,-,-,-,-
17176,17176,5446371.208,13:33:07:218,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.9461,13.9461,3.3401,609.5101,481.1721,White Space,,Local,7,0.0000,0.0000,0.0000,-13.8096,7.8389,657.8272,769.5521,473.9319,-,-,-,-,-,-,-,-
17177,17177,5446391.113,13:33:07:237,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.0534,14.0534,3.3651,611.5206,482.2895,White Space,,Local,7,0.0000,0.0000,0.0000,-13.9607,7.8257,657.7606,770.0025,474.1794,-,-,-,-,-,-,-,-
17178,17178,5446410.965,13:33:07:257,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.1792,14.1792,3.3952,609.1432,489.1111,White Space,,Local,7,0.0000,0.0000,0.0000,-14.0668,7.7650,657.8457,770.7114,474.5011,-,-,-,-,-,-,-,-
17179,17179,5446430.831,13:33:07:277,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.8980,13.8980,3.3299,609.5812,479.1580,White Space,,Local,7,0.0000,0.0000,0.0000,-14.2437,7.6922,658.0482,771.1443,474.6040,-,-,-,-,-,-,-,-
17180,17180,5446450.717,13:33:07:297,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.0549,14.0549,3.3690,608.2475,489.0902,White Space,,Local,7,0.0000,0.0000,0.0000,-14.3573,7.6958,658.4459,771.7776,474.7148,-,-,-,-,-,-,-,-
17181,17181,5446470.7,13:33:07:317,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.9739,13.9739,3.3493,608.4066,471.3171,White Space,,Local,7,0.0000,0.0000,0.0000,-14.4881,7.6724,658.3445,772.0958,474.6299,-,-,-,-,-,-,-,-
17182,17182,5446490.583,13:33:07:337,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.9754,13.9754,3.3518,605.2697,483.7251,White Space,,Local,7,0.0000,0.0000,0.0000,-14.5765,7.7478,658.7592,772.4908,474.4456,-,-,-,-,-,-,-,-
17183,17183,5446510.457,13:33:07:357,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.0302,14.0302,3.3646,607.2972,476.0791,White Space,,Local,7,0.0000,0.0000,0.0000,-14.7038,7.7693,658.7254,772.9084,474.3722,-,-,-,-,-,-,-,-
17184,17184,5446530.325,13:33:07:377,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.9868,13.9868,3.3546,604.6861,471.2836,White Space,,Local,7,0.0000,0.0000,0.0000,-14.8100,7.8069,658.7667,773.3217,474.2407,-,-,-,-,-,-,-,-
17185,17185,5446550.206,13:33:07:397,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.7315,13.7315,3.2942,604.1183,482.0875,White Space,,Local,7,0.0000,0.0000,0.0000,-14.8580,7.8006,658.7597,773.5852,474.1919,-,-,-,-,-,-,-,-
17186,17186,5446570.074,13:33:07:416,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.0534,14.0534,3.3692,604.0047,479.2077,White Space,,Local,7,0.0000,0.0000,0.0000,-14.9699,7.8204,658.5435,774.0025,474.1794,-,-,-,-,-,-,-,-
17187,17187,5446589.958,13:33:07:436,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.9868,13.9868,3.3516,603.2243,481.4714,White Space,,Local,7,0.0000,0.0000,0.0000,-15.0266,7.7867,658.1774,774.3217,474.2407,-,-,-,-,-,-,-,-
17188,17188,5446609.83,13:33:07:456,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.2154,14.2154,3.4078,603.5025,488.8260,White Space,,Local,7,0.0000,0.0000,0.0000,-15.0861,7.7576,658.6132,774.5790,474.6222,-,-,-,-,-,-,-,-
17189,17189,5446629.82,13:33:07:476,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,14.0594,14.0594,3.3718,602.5947,481.1630,White Space,,Local,7,0.0000,0.0000,0.0000,-15.1512,7.6992,658.7684,774.8416,474.6745,-,-,-,-,-,-,-,-
17190,17190,5446649.708,13:33:07:496,Trial006,06 b joie triste.jpg,0.0,5984.789,49,Crimson,100.0,Eye,Fixation,1,13.6624,13.6624,3.2775,603.2814,465.4228,White Space,,Local,7,0.0000,0.0000,0.0000,-15.2271,7.6539,658.6814,774.9578,474.4203,-,-,-,-,-,-,-,-
