,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
21845,21845,286226.18,14:33:23:865,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 tete chien d.jpg
21846,21846,286228.395,14:33:23:867,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.2193,15.2193,4.3153,15.2443,15.2443,4.2787,631.8816,393.5112,631.8816,393.5112,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.2789,-92.6917,774.1472,35.6010,-94.1549,765.5383,788.4910,812.0377,595.3052,820.6790,-,-,-,-,-,-,-,-
21847,21847,286248.266,14:33:23:887,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.2446,15.2446,4.3202,15.2141,15.2141,4.2728,624.1762,385.9202,624.1762,385.9202,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.5032,-92.5306,773.7781,35.2990,-94.1794,766.0055,789.4829,811.9658,596.3662,820.1610,-,-,-,-,-,-,-,-
21848,21848,286268.135,14:33:23:907,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.4261,15.4261,4.3735,15.1639,15.1639,4.2677,626.8500,409.1800,626.8500,409.1800,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.8214,-92.5048,774.2323,35.1584,-94.1152,767.6357,790.3686,811.6845,597.1548,819.6670,-,-,-,-,-,-,-,-
21849,21849,286288.056,14:33:23:927,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.5440,15.5440,4.4033,15.6239,15.6239,4.3997,623.4962,399.6140,623.4962,399.6140,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.0195,-92.3866,773.6685,34.9232,-94.1768,768.4071,791.1820,811.5626,598.0191,819.3628,-,-,-,-,-,-,-,-
21850,21850,286307.897,14:33:23:947,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.4346,15.4346,4.3724,15.2196,15.2196,4.2951,631.2395,394.1195,631.2395,394.1195,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.2340,-92.3405,773.6132,34.7745,-94.1709,769.8259,791.7133,811.1574,598.5401,818.9703,-,-,-,-,-,-,-,-
21851,21851,286327.76,14:33:23:967,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.2366,15.2366,4.3182,15.3022,15.3022,4.3215,622.7377,409.8030,622.7377,409.8030,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.0847,-92.2797,773.6988,31.0211,-94.1746,770.5896,804.5632,811.0847,611.4712,818.8319,-,-,-,-,-,-,-,-
21852,21852,286347.644,14:33:23:986,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.2772,15.2772,4.3316,15.2231,15.2231,4.3050,625.0407,400.3212,625.0407,400.3212,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.7281,-92.2310,774.1859,34.4519,-94.2486,771.4452,793.2642,810.7448,600.1740,818.5427,-,-,-,-,-,-,-,-
21853,21853,286367.525,14:33:24:006,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.8027,15.8027,4.4729,15.5840,15.5840,4.4125,622.6456,391.4349,622.6456,391.4349,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.8658,-92.0784,773.2106,34.3208,-94.4001,772.6601,793.9410,810.8528,600.7594,818.1026,-,-,-,-,-,-,-,-
21854,21854,286387.502,14:33:24:026,Trial005,4 tete chien D.jpg,0.0,2886.283,1,DarkOliveGreen,100.0,Eye,Fixation,Fixation,1,1,15.2735,15.2735,4.3348,15.2566,15.2566,4.3245,618.7837,384.3357,618.7837,384.3357,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.0986,-92.2715,774.9358,34.1545,-94.2352,773.3027,794.6709,810.3332,601.3633,817.6545,-,-,-,-,-,-,-,-
