,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
326620,326620,611187.612,15:52:13:062,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7102324aaefaec6c6de6e546b9093ee4.avi
326621,326621,611202.709,15:52:13:077,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,861.319,452.1945,856.2646,419.4603,-,-,-,-,-,-,-,-,0.1419,0.4242,-0.8944,0.0898,0.4016,-0.9114,43.369,-65.7296,562.4061,-7.5581,-67.4067,553.231,451.721,782.7637,670.3528,795.1038,0,-,-,-,-,-,-,-,-
326622,326622,611219.395,15:52:13:094,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,853.9014,450.2299,858.6274,416.827,-,-,-,-,-,-,-,-,0.1358,0.4277,-0.8937,0.093,0.4107,-0.907,43.3031,-65.6904,561.79,-7.6152,-67.4912,553.7317,451.9231,782.8212,670.5018,795.0059,0,-,-,-,-,-,-,-,-
326623,326623,611236.08,15:52:13:110,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,851.6243,449.6011,853.9416,417.2569,-,-,-,-,-,-,-,-,0.1366,0.4252,-0.8948,0.088,0.4096,-0.908,43.2417,-65.6798,561.3581,-7.6358,-67.529,553.5929,452.0218,783.0422,670.7057,795.2675,0,-,-,-,-,-,-,-,-
326624,326624,611252.765,15:52:13:127,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,849.1356,449.7563,853.8175,415.337,-,-,-,-,-,-,-,-,0.1355,0.4213,-0.8968,0.0906,0.4121,-0.9066,43.1884,-65.6341,560.6822,-7.6448,-67.5103,553.1621,452.0431,783.264,670.7137,795.3538,0,-,-,-,-,-,-,-,-
326625,326625,611269.451,15:52:13:144,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,846.8575,449.4479,853.3835,414.7125,-,-,-,-,-,-,-,-,0.1349,0.4223,-0.8964,0.0912,0.4123,-0.9065,43.1109,-65.5605,559.6221,-7.6377,-67.4591,552.6174,452.0289,783.445,670.7013,795.4088,0,-,-,-,-,-,-,-,-
326626,326626,611286.136,15:52:13:161,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,845.4833,448.6611,852.4301,414.9084,-,-,-,-,-,-,-,-,0.1356,0.4235,-0.8957,0.0904,0.4134,-0.9061,43.0921,-65.5844,559.124,-7.6261,-67.4246,552.1939,451.9288,783.7655,670.6917,795.4536,0,-,-,-,-,-,-,-,-
326627,326627,611302.821,15:52:13:177,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,845.1346,447.1455,853.7807,415.1452,-,-,-,-,-,-,-,-,0.1332,0.4273,-0.8943,0.0902,0.4132,-0.9062,43.0998,-65.6148,558.8459,-7.5957,-67.4514,552.4445,451.8542,783.9481,670.5492,795.4448,0,-,-,-,-,-,-,-,-
326628,326628,611319.507,15:52:13:194,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,845.1998,448.2524,853.5701,415.2855,-,-,-,-,-,-,-,-,0.141,0.4203,-0.8963,0.0904,0.4137,-0.9059,43.1009,-65.6096,558.6142,-7.5524,-67.449,552.4924,451.6033,784.1911,670.3544,795.3973,0,-,-,-,-,-,-,-,-
326629,326629,611336.192,15:52:13:211,Trial030,punition orale triste vs joie1.avi,0,16029.524,31,Navy,90.0422,Eye,Fixation,Fixation,1,1,844.6636,448.73,852.6815,414.7618,-,-,-,-,-,-,-,-,0.1392,0.4216,-0.896,0.0827,0.4153,-0.9059,43.1896,-65.6465,558.8774,-7.4919,-67.358,551.964,451.3509,784.1919,670.2849,795.2433,0,-,-,-,-,-,-,-,-
