,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],groupe d'enfants,Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
90237,90237,10703106.315,08:09:12:000,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vnvg151201b1.avi
90238,90238,10703216.226,08:09:12:110,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90239,90239,10703317.222,08:09:12:211,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90240,90240,10703367.025,08:09:12:261,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90241,90241,10703409.33,08:09:12:303,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90242,90242,10703453.459,08:09:12:347,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90243,90243,10703497.467,08:09:12:391,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90244,90244,10703541.469,08:09:12:435,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90245,90245,10703600.931,08:09:12:495,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90246,90246,10703642.253,08:09:12:536,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90247,90247,10703684.802,08:09:12:578,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90248,90248,10703717.76,08:09:12:611,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90249,90249,10703761.697,08:09:12:655,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
90250,90250,10703805.697,08:09:12:699,Trial001,01vnvg151201b1.avi,0.0,48853.877,TS,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,0.0000,0.0000,4.8515,0.0000,0.0000,4.5711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
