,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
17625,17625,859730.181,14:25:21:076,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17 voc devant d.jpg
17626,17626,859741.377,14:25:21:087,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Saccade,Saccade,1,1,10.4601,10.4601,2.4742,11.1195,11.1195,2.6051,720.0353,334.8044,720.0353,334.8044,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.6410,-6.3908,645.5621,20.5734,-4.7731,640.8816,860.7445,527.8101,630.4134,521.2999,-,-,-,-,-,-,-,-
17627,17627,859761.248,14:25:21:107,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Saccade,Saccade,1,1,10.6895,10.6895,2.5264,10.8698,10.8698,2.5467,721.3943,336.2751,721.3943,336.2751,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.3919,-6.5921,645.3446,20.8323,-4.8737,640.6434,859.8916,528.7568,629.2090,521.6857,-,-,-,-,-,-,-,-
17628,17628,859781.142,14:25:21:127,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Saccade,Saccade,1,1,10.8299,10.8299,2.5570,11.3263,11.3263,2.6503,711.7994,371.6960,711.7994,371.6960,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.1615,-6.8380,644.8516,21.0652,-4.9993,640.3142,859.5082,530.1659,628.7737,522.7304,-,-,-,-,-,-,-,-
17629,17629,859801.007,14:25:21:147,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Saccade,Saccade,1,1,10.5426,10.5426,2.4904,10.6215,10.6215,2.4868,484.3955,557.1138,484.3955,557.1138,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.2202,-7.3941,644.8259,20.8025,-5.5480,639.9066,861.6304,533.9499,631.5801,525.7458,-,-,-,-,-,-,-,-
17630,17630,859820.868,14:25:21:167,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Saccade,Saccade,1,1,10.4624,10.4624,2.4718,10.7718,10.7718,2.5221,327.0641,747.2328,327.0641,747.2328,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.1022,-8.0586,644.8121,20.7816,-6.0793,640.0815,862.7259,537.9054,632.9300,529.6911,-,-,-,-,-,-,-,-
17631,17631,859840.747,14:25:21:187,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Saccade,Saccade,1,1,10.4460,10.4460,2.4648,10.4131,10.4131,2.4380,324.0269,781.3434,324.0269,781.3434,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.7493,-8.1914,644.0070,21.1491,-6.3504,639.6204,861.3599,539.0074,631.6461,530.8941,-,-,-,-,-,-,-,-
17632,17632,859860.738,14:25:21:207,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Fixation,Fixation,1,1,10.5303,10.5303,2.4838,10.6301,10.6301,2.4850,293.1951,816.2554,293.1951,816.2554,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.4084,-8.1018,643.8781,21.6409,-6.3955,638.8933,860.2780,539.0541,630.1063,531.2594,-,-,-,-,-,-,-,-
17633,17633,859880.625,14:25:21:226,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Fixation,Fixation,1,1,10.6255,10.6255,2.5083,10.6647,10.6647,2.4936,315.3223,842.5003,315.3223,842.5003,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.1438,-7.9774,644.5447,21.9611,-6.3972,639.0565,858.9977,538.4852,628.2226,531.7997,-,-,-,-,-,-,-,-
17634,17634,859900.491,14:25:21:246,Trial017,17 voc devant d.jpg,0.0,2895.27,52,DarkGray,96.7095,Eye,Fixation,Fixation,1,1,10.5983,10.5983,2.5011,10.7009,10.7009,2.5027,314.2747,840.2094,314.2747,840.2094,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.9353,-7.8524,644.3283,22.2198,-6.4005,639.2397,858.2754,537.9690,627.2015,531.6367,-,-,-,-,-,-,-,-
