,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
7955,7955,501182.891,13:32:24:808,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab8a89121e4cbc8caca03fbdfe33c6b9_1280x1024.jpg
7956,7956,501184.838,13:32:24:810,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,932.5036,396.5006,933.8444,443.7122,-,-,-,-,-,-,-,-,0.2193,0.4048,-0.8877,0.1852,0.3847,-0.9043,7.3742,-52.8304,588.6863,-50.2776,-51.5597,576.663,605.1185,718.4348,844.6794,717.9589,0,-,-,-,-,-,-,-,-
7957,7957,501201.53,13:32:24:827,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,932.2092,395.1481,936.0822,443.062,-,-,-,-,-,-,-,-,0.2139,0.4073,-0.8879,0.1892,0.3805,-0.9052,7.3567,-53.0225,588.2291,-50.3808,-51.7232,577.0727,605.2714,719.3298,844.8809,718.5776,0,-,-,-,-,-,-,-,-
7958,7958,501218.223,13:32:24:843,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,933.014,393.35,937.7383,442.5476,-,-,-,-,-,-,-,-,0.2136,0.4109,-0.8863,0.1944,0.3794,-0.9046,7.3418,-53.2667,588.6472,-50.4764,-51.9373,577.6365,605.362,720.0999,844.9704,719.283,0,-,-,-,-,-,-,-,-
7959,7959,501234.916,13:32:24:860,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,937.1066,394.6697,939.865,439.2522,-,-,-,-,-,-,-,-,0.2219,0.4024,-0.8882,0.1921,0.3875,-0.9016,7.3174,-53.5186,589.9133,-50.5139,-52.1337,577.7443,605.3706,720.8457,845.1268,719.8872,0,-,-,-,-,-,-,-,-
7960,7960,501251.608,13:32:24:877,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,939.0045,393.8034,943.0646,439.1643,-,-,-,-,-,-,-,-,0.2201,0.4088,-0.8857,0.1958,0.381,-0.9036,7.3135,-53.8217,591.1159,-50.5361,-52.2221,577.6084,605.4924,721.5115,845.1963,720.4391,0,-,-,-,-,-,-,-,-
7961,7961,501268.301,13:32:24:893,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,941.4407,395.6651,941.96,438.4237,-,-,-,-,-,-,-,-,0.2216,0.4009,-0.8889,0.1873,0.3833,-0.9044,7.292,-53.9575,591.6761,-50.5064,-52.3301,576.8322,605.5821,722.0251,845.5265,721.1265,0,-,-,-,-,-,-,-,-
7962,7962,501284.993,13:32:24:910,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,943.1193,390.4827,945.2071,438.1257,-,-,-,-,-,-,-,-,0.2204,0.4153,-0.8826,0.1938,0.3829,-0.9032,7.3109,-54.1931,592.6141,-50.4825,-52.4106,576.0131,605.5815,722.3439,845.5888,721.7669,0,-,-,-,-,-,-,-,-
7963,7963,501301.686,13:32:24:927,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,944.754,393.2834,947.0129,438.5247,-,-,-,-,-,-,-,-,0.2185,0.4042,-0.8882,0.1926,0.3814,-0.9041,7.3102,-54.2976,593.2972,-50.4953,-52.4849,575.7038,605.6629,722.7517,845.7792,722.2228,0,-,-,-,-,-,-,-,-
7964,7964,501318.378,13:32:24:943,Trial003,2 devant.png,0,2899.897,24,DarkBlue,94.2562,Eye,Fixation,Fixation,1,1,946.5694,391.2932,950.2247,438.641,-,-,-,-,-,-,-,-,0.22,0.4094,-0.8854,0.1971,0.381,-0.9033,7.3045,-54.3463,593.5657,-50.5877,-52.647,576.5741,605.671,722.7436,845.7559,722.5821,0,-,-,-,-,-,-,-,-
