,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
48808,48808,3084543.971,08:07:24:329,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 tete chat gauche.jpg
48809,48809,3084556.066,08:07:24:341,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.6659,3.9049,599.9704,273.1417,599.9704,273.1417,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48810,48810,3084575.943,08:07:24:361,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.6168,3.9233,599.8693,267.4811,599.8693,267.4811,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48811,48811,3084595.837,08:07:24:381,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.6463,3.9009,605.4426,270.3323,605.4426,270.3323,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48812,48812,3084615.829,08:07:24:401,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.6612,3.8975,608.6252,281.3458,608.6252,281.3458,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48813,48813,3084635.682,08:07:24:421,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.6750,3.8882,609.2806,283.6751,609.2806,283.6751,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48814,48814,3084655.601,08:07:24:441,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.5785,3.9104,611.3022,271.1314,611.3022,271.1314,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48815,48815,3084675.446,08:07:24:460,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.7673,3.8923,613.6045,290.6688,613.6045,290.6688,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48816,48816,3084695.346,08:07:24:480,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.7726,3.8807,611.4933,287.8517,611.4933,287.8517,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48817,48817,3084715.197,08:07:24:500,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.7213,3.8620,606.3668,279.6008,606.3668,279.6008,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
48818,48818,3084735.066,08:07:24:520,Trial013,13 tete chat gauche.jpg,0.0,2876.417,15,Gainsboro,100.0,Eye,Fixation,Fixation,1,1,3.7707,3.9175,615.1335,285.5950,615.1335,285.5950,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
