,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],groupe d'enfants,Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
98963,98963,8282029.722,09:39:11:000,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vnvg151201b1.avi
98964,98964,8282142.591,09:39:11:113,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,14.1717,14.1717,4.8570,16.7187,16.7187,4.0231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.9463,-55.3393,660.3326,108.8783,-51.9060,651.7238,484.0609,729.8366,297.6777,717.7538,-,-,-,-,-,-,-,-
98965,98965,8282162.46,09:39:11:133,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,15.9020,15.9020,3.8199,16.9443,16.9443,4.0501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.4344,-54.8250,655.9581,108.1912,-51.1670,647.4977,484.5590,728.1678,297.9876,716.6157,-,-,-,-,-,-,-,-
98966,98966,8282182.326,09:39:11:153,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,15.7863,15.7863,3.7671,17.2134,17.2134,4.0902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.0045,-50.0919,651.7364,109.5166,-46.5559,643.8033,476.8021,710.9257,289.8999,698.7968,-,-,-,-,-,-,-,-
98967,98967,8282202.202,09:39:11:172,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,15.8476,15.8476,3.7596,16.2631,16.2631,3.8421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.5652,-53.7153,647.8376,106.7770,-49.8962,639.6980,484.5542,726.3643,298.3028,714.0298,-,-,-,-,-,-,-,-
98968,98968,8282222.077,09:39:11:192,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,16.5252,16.5252,3.8938,17.0707,17.0707,3.9961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.2237,-53.2314,643.8146,106.0968,-49.1603,634.2406,484.3976,725.5030,297.7675,712.1056,-,-,-,-,-,-,-,-
98969,98969,8282241.95,09:39:11:212,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,16.1527,16.1527,3.7821,17.2478,17.2478,4.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9143,-52.6916,639.5833,105.4157,-48.4936,628.8297,484.4257,724.9629,296.7678,710.6740,-,-,-,-,-,-,-,-
98970,98970,8282261.827,09:39:11:232,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,14.8733,14.8733,3.4632,15.9521,15.9521,3.6757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.7708,-52.2679,635.3125,104.8135,-47.8548,623.7213,483.1993,724.8258,296.1822,710.4338,-,-,-,-,-,-,-,-
98971,98971,8282281.699,09:39:11:252,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,14.6159,14.6159,3.3825,15.4350,15.4350,3.5321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.6415,-51.7320,631.2599,104.3213,-47.2783,619.1300,481.9792,724.5984,294.7833,709.5860,-,-,-,-,-,-,-,-
98972,98972,8282301.574,09:39:11:272,Trial001,01vnvg151201b1.avi,0.0,48823.071,TS,21,Gray,19.8677,Eye,-,Blink,-,1,14.1057,14.1057,3.2476,0.0000,0.0000,4.0711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.6744,-51.2387,627.6757,105.3882,-53.7566,616.0549,481.0673,723.7829,0.0000,0.0000,-,-,-,-,-,-,-,-
