,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
341532,341532,779497.773,17:37:25:090,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c698297d373ea1b6aa68756ec61fb204_1280x1024.jpg
341533,341533,779505.386,17:37:25:098,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,1068.3129,1114.5801,1042.8435,1084.5564,-,-,-,-,-,-,-,-,0.3275,0.0059,-0.9448,0.3036,0.0554,-0.9512,4.1807,-33.2859,482.4761,-47.9004,-35.6382,469.4434,610.7303,677.0047,877.0048,692.4523,0,-,-,-,-,-,-,-,-
341534,341534,779522.079,17:37:25:114,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,0,0,1036.0486,1082.5568,-,-,-,-,-,-,-,-,0.328,0.0015,-0.9447,0.2883,0.0685,-0.9551,4.1787,-33.3506,481.9153,-47.9255,-35.8165,470.0972,610.6943,677.6278,877.1906,692.7907,0,-,-,-,-,-,-,-,-
341535,341535,779538.773,17:37:25:131,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,1066.6366,1114.6397,1035.1509,1082.9514,-,-,-,-,-,-,-,-,0.3219,0.0117,-0.9467,0.2885,0.0628,-0.9554,4.2041,-33.534,482.0454,-48.0136,-35.9535,470.7929,610.7257,678.2497,877.2815,693.3609,0,-,-,-,-,-,-,-,-
341536,341536,779555.466,17:37:25:148,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,1062.7034,1117.1028,1053.6198,1085.8446,-,-,-,-,-,-,-,-,0.315,0.0069,-0.9491,0.3132,0.0534,-0.9482,4.2465,-33.6061,480.376,-48.1745,-36.0616,470.8646,610.5818,679.3167,877.4319,694.1035,0,-,-,-,-,-,-,-,-
341537,341537,779572.159,17:37:25:164,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,0,0,1036.7043,1084.6533,-,-,-,-,-,-,-,-,0.3156,0.0027,-0.9489,0.2926,0.06,-0.9543,4.2453,-33.7095,479.0858,-48.0668,-36.1635,470.3359,610.495,680.3944,877.6817,694.6783,0,-,-,-,-,-,-,-,-
341538,341538,779588.853,17:37:25:181,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,1071.6139,1117.3608,1038.3177,1082.4668,-,-,-,-,-,-,-,-,0.3256,0.0068,-0.9455,0.2943,0.0682,-0.9533,4.2218,-33.9025,479.7252,-48.0912,-36.2504,470.198,610.4039,681.0282,877.8306,694.971,0,-,-,-,-,-,-,-,-
341539,341539,779605.546,17:37:25:198,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,1077.1503,1115.1977,1036.9594,1081.5634,-,-,-,-,-,-,-,-,0.3314,0.0167,-0.9433,0.2899,0.0673,-0.9547,4.2383,-34.0949,480.6104,-48.1714,-36.2911,470.6362,610.2348,681.4285,878.1302,695.0321,0,-,-,-,-,-,-,-,-
341540,341540,779622.239,17:37:25:214,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,0,0,1056.69,1085.6095,-,-,-,-,-,-,-,-,0.3205,-0.0057,-0.9472,0.3137,0.0559,-0.9479,4.2686,-34.0032,479.625,-48.3348,-36.2173,470.3644,610.2897,681.8761,878.4922,695.0329,0,-,-,-,-,-,-,-,-
341541,341541,779638.934,17:37:25:231,Trial031,A Triste joie.jpg,0,5998.704,59,Cyan,98.0767,Eye,-,Fixation,-,1,1082.1559,1115.6137,1040.0444,1083.3881,-,-,-,-,-,-,-,-,0.3349,0.0128,-0.9422,0.2907,0.0645,-0.9546,4.1983,-34.0821,479.7822,-48.2757,-36.2319,470.0742,610.2977,681.7551,878.9317,695.0211,0,-,-,-,-,-,-,-,-
