,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
43574,43574,10672422.253,12:37:57:477,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8 voc chien d.jpg
43575,43575,10672439.328,12:37:57:494,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.2805,3.9529,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43576,43576,10672459.325,12:37:57:514,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.2847,3.9236,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43577,43577,10672479.205,12:37:57:534,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.3051,3.8779,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43578,43578,10672499.071,12:37:57:554,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.2717,3.9707,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43579,43579,10672518.997,12:37:57:574,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.2625,3.9569,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43580,43580,10672538.841,12:37:57:594,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.3007,3.9611,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43581,43581,10672558.722,12:37:57:613,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.3171,3.9193,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43582,43582,10672578.566,12:37:57:633,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.3246,3.9375,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
43583,43583,10672598.571,12:37:57:653,Trial009,09 voc chien d.jpg,0.0,2881.373,19,DeepSkyBlue,89.5406,Eye,-,-,-,-,4.3569,3.9544,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
