,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
41676,41676,11774979.731,12:50:04:133,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16 voc droite chat.jpg
41677,41677,11774979.857,12:50:04:133,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,666.5147,327.0683,666.5147,327.0683,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.1478,-42.8351,597.8488,1.7305,-41.9015,600.8932,943.1727,685.5222,705.8620,680.9050,-,-,-,-,-,-,-,-
41678,41678,11774999.739,12:50:04:153,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,666.4315,324.9437,666.4315,324.9437,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.1838,-42.8245,597.4302,1.6563,-41.9413,600.6990,943.4885,685.6481,706.3015,680.8790,-,-,-,-,-,-,-,-
41679,41679,11775019.614,12:50:04:173,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,666.1607,327.0325,666.1607,327.0325,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.2365,-42.8444,597.3998,1.5959,-42.0633,600.5270,943.8070,685.9395,706.3756,681.3792,-,-,-,-,-,-,-,-
41680,41680,11775039.499,12:50:04:193,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,666.0397,327.5335,666.0397,327.5335,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.3450,-42.9258,597.9360,1.5409,-42.0902,600.4001,944.0450,686.1135,706.5593,681.4844,-,-,-,-,-,-,-,-
41681,41681,11775059.375,12:50:04:213,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,666.8468,336.7230,666.8468,336.7230,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.4411,-43.0130,598.6473,1.5225,-42.1120,600.4140,944.1055,686.4243,706.7983,681.9666,-,-,-,-,-,-,-,-
41682,41682,11775079.361,12:50:04:233,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,665.4922,340.0768,665.4922,340.0768,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.4979,-43.0326,598.7153,1.4683,-42.1702,600.5019,944.4824,686.5461,707.1463,682.1303,-,-,-,-,-,-,-,-
41683,41683,11775099.232,12:50:04:253,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,663.4587,340.0900,663.4587,340.0900,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5010,-42.9912,598.3440,1.4339,-42.2232,600.6424,944.6379,686.3031,707.3251,682.3556,-,-,-,-,-,-,-,-
41684,41684,11775119.108,12:50:04:272,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,663.2985,335.7172,663.2985,335.7172,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.4917,-42.9439,597.8607,1.4074,-42.2914,600.6398,944.6755,686.2270,707.4002,682.4082,-,-,-,-,-,-,-,-
41685,41685,11775138.98,12:50:04:292,Trial016,16 voc droite chat.jpg,0.0,2707.583,40,DeepSkyBlue,77.5599,Eye,Fixation,Fixation,1,1,662.8785,334.1569,662.8785,334.1569,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.4979,-42.9013,597.6602,1.3632,-42.2929,600.4844,944.9668,686.1118,707.4833,682.3900,-,-,-,-,-,-,-,-
