,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
58643,58643,1583143.1,12:14:34:092,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a083ab3b4d7c6e63c12f3b51307da008.avi
58644,58644,1583157.8,12:14:34:107,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.3,14.3,3.4,13.5,13.5,3.4,583.4,358.3,595.3,355.6,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.4,-82.2,584.6,-92.0,-94.7,588.6,818.3,840.3,1012.0,889.0,0,-,-,-,-,-,-,-,-
58645,58645,1583174.5,12:14:34:123,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.2,14.2,3.4,13.8,13.8,3.4,584.2,358.0,598.0,353.6,-,-,-,-,-,-,-,-,0.1,0.4,-0.9,0.1,0.4,-0.9,-44.4,-82.3,585.5,-92.0,-94.8,588.8,818.2,840.3,1011.6,889.4,0,-,-,-,-,-,-,-,-
58646,58646,1583191.2,12:14:34:140,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.2,14.2,3.5,0.0,0.0,0.0,582.1,359.0,0.0,0.0,-,-,-,-,-,-,-,-,0.1,0.4,-0.9,0.0,0.0,0.0,-44.3,-82.2,585.1,0.0,0.0,0.0,818.0,840.2,0.0,0.0,0,-,-,-,-,-,-,-,-
58647,58647,1583207.9,12:14:34:157,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.1,14.1,3.4,13.5,13.5,3.4,584.7,360.3,595.5,351.5,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.2,-82.2,585.2,-91.7,-94.8,587.8,817.6,840.2,1011.2,889.6,0,-,-,-,-,-,-,-,-
58648,58648,1583224.6,12:14:34:173,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.1,14.1,3.4,13.5,13.5,3.4,587.0,361.3,596.2,349.4,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.2,-82.2,585.1,-91.6,-94.7,587.2,817.3,840.0,1010.9,889.6,0,-,-,-,-,-,-,-,-
58649,58649,1583241.2,12:14:34:190,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.2,14.2,3.4,13.5,13.5,3.4,589.5,360.9,598.7,350.0,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.1,-82.1,584.8,-91.6,-94.7,587.4,817.1,839.9,1010.7,889.7,0,-,-,-,-,-,-,-,-
58650,58650,1583257.9,12:14:34:207,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.1,14.1,3.4,13.5,13.5,3.4,587.7,360.5,596.1,346.5,-,-,-,-,-,-,-,-,0.1,0.4,-0.9,0.1,0.4,-0.9,-44.1,-82.0,584.7,-91.6,-94.7,587.4,817.1,839.7,1010.8,889.5,0,-,-,-,-,-,-,-,-
58651,58651,1583274.6,12:14:34:223,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.2,14.2,3.4,13.5,13.5,3.4,589.5,360.9,599.3,342.5,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.0,-82.0,584.6,-91.6,-94.7,587.5,817.0,839.8,1010.7,889.5,0,-,-,-,-,-,-,-,-
58652,58652,1583291.3,12:14:34:240,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.1,14.1,3.4,13.4,13.4,3.3,590.8,359.7,601.5,339.1,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.0,-82.0,584.1,-91.6,-94.6,587.0,817.1,839.7,1010.8,889.5,0,-,-,-,-,-,-,-,-
58653,58653,1583308.0,12:14:34:257,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.1,14.1,3.4,13.6,13.6,3.3,594.4,361.0,598.9,339.7,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.1,-81.9,584.0,-91.4,-94.4,586.0,817.1,839.8,1011.2,889.5,0,-,-,-,-,-,-,-,-
58654,58654,1583324.7,12:14:34:274,Trial018,VNVD151207.avi,0.0,49107.5,30,DarkViolet,92.0,Eye,Fixation,Fixation,1,1,14.1,14.1,3.4,13.6,13.6,3.3,593.6,362.2,597.8,348.9,-,-,-,-,-,-,-,-,0.2,0.4,-0.9,0.1,0.4,-0.9,-44.2,-82.0,584.3,-91.5,-94.3,585.6,817.6,839.9,1011.5,889.6,0,-,-,-,-,-,-,-,-
