,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
59030,59030,1476720.12,11:33:23:661,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7 devant.jpg
59031,59031,1476737.464,11:33:23:678,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,695.0814,375.9615,695.0814,375.9615,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.1644,25.6202,632.8527,102.4217,24.5802,642.5444,537.0355,400.0670,305.5372,405.2050,-,-,-,-,-,-,-,-
59032,59032,1476757.464,11:33:23:698,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,693.9303,377.1670,693.9303,377.1670,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.1492,25.6080,632.5967,102.4295,24.5983,642.3998,537.0391,400.0664,305.4217,405.0711,-,-,-,-,-,-,-,-
59033,59033,1476777.331,11:33:23:718,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,693.1129,370.4016,693.1129,370.4016,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.2250,25.6013,633.0929,102.3704,24.5231,641.7798,537.0587,400.1567,305.2806,404.8418,-,-,-,-,-,-,-,-
59034,59034,1476797.216,11:33:23:738,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,699.0420,373.6226,699.0420,373.6226,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.2686,25.6079,633.2854,102.2473,24.4590,640.8716,536.7815,400.4554,305.0458,404.8236,-,-,-,-,-,-,-,-
59035,59035,1476817.089,11:33:23:758,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,700.5825,370.8806,700.5825,370.8806,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.3254,25.6096,633.2434,102.4466,24.4383,641.5257,536.5900,400.5469,304.7246,404.7760,-,-,-,-,-,-,-,-
59036,59036,1476836.962,11:33:23:778,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,704.3628,369.8598,704.3628,369.8598,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.4022,25.5712,633.0258,102.4975,24.3883,641.5836,536.2684,400.4811,304.3648,405.2298,-,-,-,-,-,-,-,-
59037,59037,1476856.836,11:33:23:798,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,707.1589,365.8966,707.1589,365.8966,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.5005,25.5809,633.3302,102.5778,24.3778,641.3531,535.8723,400.4784,303.9362,405.0460,-,-,-,-,-,-,-,-
59038,59038,1476876.709,11:33:23:818,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,708.2687,370.9425,708.2687,370.9425,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.5761,25.6113,633.2747,102.6202,24.3701,641.2369,535.5495,400.5793,303.8048,405.4717,-,-,-,-,-,-,-,-
59039,59039,1476896.578,11:33:23:837,Trial007,7 devant.jpg,0.0,2881.655,31,Green,100.0,Eye,Fixation,Fixation,1,1,711.2873,358.1445,711.2873,358.1445,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.6728,25.5685,632.9804,102.7162,24.3629,641.0052,535.0752,400.1756,303.1123,405.0421,-,-,-,-,-,-,-,-
