,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
20021,20021,5437065.589,12:56:27:799,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 regard chien d.jpg
20022,20022,5437077.469,12:56:27:811,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7743,3.5865,1099.9168,345.6651,1099.9168,345.6651,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20023,20023,5437097.35,12:56:27:831,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7536,3.5790,1084.4342,354.3595,1084.4342,354.3595,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20024,20024,5437117.223,12:56:27:851,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7207,3.6305,1077.4353,345.8783,1077.4353,345.8783,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20025,20025,5437137.118,12:56:27:871,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7230,3.5329,1077.0805,351.8667,1077.0805,351.8667,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20026,20026,5437156.967,12:56:27:890,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7183,3.5162,1081.4899,348.7805,1081.4899,348.7805,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20027,20027,5437176.974,12:56:27:910,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.6588,3.4448,1082.8307,354.6628,1082.8307,354.6628,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20028,20028,5437196.838,12:56:27:930,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7143,3.5193,1076.8428,358.8532,1076.8428,358.8532,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20029,20029,5437216.72,12:56:27:950,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7141,3.4531,1073.3718,356.8455,1073.3718,356.8455,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20030,20030,5437236.589,12:56:27:970,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.7089,3.4168,1072.9243,356.4286,1072.9243,356.4286,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20031,20031,5437256.472,12:56:27:990,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,1,1,3.5282,3.4928,1075.3887,350.0087,1075.3887,350.0087,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20032,20032,5437276.34,12:56:28:010,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Saccade,Saccade,1,1,3.5589,3.4500,1022.7246,350.0794,1022.7246,350.0794,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20033,20033,5437296.253,12:56:28:030,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Saccade,Saccade,1,1,3.4935,3.3985,768.7407,302.8342,768.7407,302.8342,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20034,20034,5437316.128,12:56:28:050,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.6068,3.4040,682.9189,307.5737,682.9189,307.5737,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20035,20035,5437336.107,12:56:28:070,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5443,3.3611,675.9950,298.5084,675.9950,298.5084,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20036,20036,5437355.968,12:56:28:089,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5090,3.4140,678.0530,274.5524,678.0530,274.5524,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20037,20037,5437375.841,12:56:28:109,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5124,3.3738,670.5556,274.9542,670.5556,274.9542,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20038,20038,5437395.707,12:56:28:129,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5495,3.2746,669.7673,264.2258,669.7673,264.2258,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20039,20039,5437415.589,12:56:28:149,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5586,3.2448,675.9279,260.8381,675.9279,260.8381,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20040,20040,5437435.462,12:56:28:169,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5253,3.3053,673.0410,263.3739,673.0410,263.3739,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20041,20041,5437455.34,12:56:28:189,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5413,3.2404,678.4349,258.5259,678.4349,258.5259,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20042,20042,5437475.329,12:56:28:209,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,2,2,3.5154,3.4026,678.1777,247.1816,678.1777,247.1816,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20043,20043,5437495.206,12:56:28:229,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Saccade,Saccade,2,2,3.5091,3.3592,675.7582,252.1546,675.7582,252.1546,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20044,20044,5437515.081,12:56:28:248,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5027,3.2173,611.1911,212.6699,611.1911,212.6699,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20045,20045,5437534.954,12:56:28:268,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5342,3.2541,601.4953,210.9701,601.4953,210.9701,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20046,20046,5437554.829,12:56:28:288,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4230,3.2332,601.3272,205.1496,601.3272,205.1496,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20047,20047,5437574.699,12:56:28:308,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5220,3.2809,601.1462,187.3913,601.1462,187.3913,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20048,20048,5437594.586,12:56:28:328,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4197,3.2771,603.0580,205.8306,603.0580,205.8306,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20049,20049,5437614.459,12:56:28:348,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4548,3.1941,605.2237,222.8452,605.2237,222.8452,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20050,20050,5437634.458,12:56:28:368,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5181,3.1256,602.9834,202.4810,602.9834,202.4810,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20051,20051,5437654.333,12:56:28:388,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5024,3.1438,601.4825,190.9070,601.4825,190.9070,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20052,20052,5437674.208,12:56:28:408,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4633,3.0951,600.1171,179.7712,600.1171,179.7712,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20053,20053,5437694.069,12:56:28:427,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4784,3.1988,597.7616,196.9196,597.7616,196.9196,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20054,20054,5437713.954,12:56:28:447,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4564,3.1244,600.0864,204.2260,600.0864,204.2260,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20055,20055,5437733.826,12:56:28:467,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.4960,3.1358,599.7317,197.8283,599.7317,197.8283,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20056,20056,5437753.702,12:56:28:487,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5341,3.1007,595.4477,169.2409,595.4477,169.2409,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20057,20057,5437773.704,12:56:28:507,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5050,3.1205,596.7895,191.3019,596.7895,191.3019,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20058,20058,5437793.575,12:56:28:527,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.5991,3.3675,599.6148,185.8271,599.6148,185.8271,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20059,20059,5437813.447,12:56:28:547,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6217,3.3898,598.0605,174.4454,598.0605,174.4454,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20060,20060,5437833.325,12:56:28:567,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6494,3.3476,594.5852,172.0013,594.5852,172.0013,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20061,20061,5437853.2,12:56:28:587,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6609,3.3715,593.6708,188.9832,593.6708,188.9832,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20062,20062,5437873.077,12:56:28:606,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6855,3.4507,594.8137,192.1545,594.8137,192.1545,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20063,20063,5437892.944,12:56:28:626,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6960,3.4844,588.2705,181.2785,588.2705,181.2785,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20064,20064,5437912.823,12:56:28:646,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6935,3.4312,591.5631,171.4718,591.5631,171.4718,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20065,20065,5437932.823,12:56:28:666,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6908,3.4984,584.8497,178.7929,584.8497,178.7929,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20066,20066,5437952.696,12:56:28:686,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.6809,3.5058,586.3793,175.7727,586.3793,175.7727,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20067,20067,5437972.572,12:56:28:706,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.7286,3.5599,579.9671,171.8532,579.9671,171.8532,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20068,20068,5437992.439,12:56:28:726,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,3,3,3.7467,3.5438,568.2219,167.4762,568.2219,167.4762,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20069,20069,5438012.32,12:56:28:746,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Saccade,Saccade,3,3,3.7115,3.5957,573.4693,186.7394,573.4693,186.7394,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20070,20070,5438032.193,12:56:28:766,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.8254,3.5585,565.3059,181.3147,565.3059,181.3147,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20071,20071,5438052.197,12:56:28:786,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.8057,3.5145,572.9311,189.1118,572.9311,189.1118,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20072,20072,5438072.067,12:56:28:805,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7444,3.3529,579.4061,181.5453,579.4061,181.5453,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20073,20073,5438091.933,12:56:28:825,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7829,3.4198,570.1527,173.6358,570.1527,173.6358,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20074,20074,5438111.822,12:56:28:845,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7517,3.5499,574.3944,177.6992,574.3944,177.6992,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20075,20075,5438131.691,12:56:28:865,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7392,3.5279,567.4654,183.0539,567.4654,183.0539,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20076,20076,5438151.561,12:56:28:885,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7267,3.4579,566.6114,184.2124,566.6114,184.2124,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20077,20077,5438171.437,12:56:28:905,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7399,3.4205,570.1566,185.3948,570.1566,185.3948,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20078,20078,5438191.313,12:56:28:925,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7237,3.3120,571.3095,183.5677,571.3095,183.5677,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20079,20079,5438211.323,12:56:28:945,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.6093,3.3374,570.0186,183.7988,570.0186,183.7988,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20080,20080,5438231.193,12:56:28:965,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7087,3.4093,570.9799,177.1602,570.9799,177.1602,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20081,20081,5438251.061,12:56:28:984,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.6798,3.4802,572.2338,174.3637,572.2338,174.3637,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20082,20082,5438270.941,12:56:29:004,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7332,3.5298,572.2478,184.1883,572.2478,184.1883,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20083,20083,5438290.81,12:56:29:024,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.6985,3.4484,568.7910,176.5037,568.7910,176.5037,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20084,20084,5438310.69,12:56:29:044,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.6805,3.4014,571.0595,175.8365,571.0595,175.8365,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20085,20085,5438330.559,12:56:29:064,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7203,3.4174,570.7066,166.1106,570.7066,166.1106,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20086,20086,5438350.436,12:56:29:084,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.7133,3.4547,570.9539,161.4279,570.9539,161.4279,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20087,20087,5438370.445,12:56:29:104,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.6604,3.5028,571.2888,172.6294,571.2888,172.6294,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
20088,20088,5438390.311,12:56:29:124,Trial004,04 regard chien d.jpg,0.0,2896.068,45,DarkGreen,100.0,Eye,Fixation,Fixation,4,4,3.6539,3.4252,570.5095,182.2551,570.5095,182.2551,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
