,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
8462,8462,3181032.459,12:55:47:216,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,punition orale triste vs joie.avi
8463,8463,3181263.499,12:55:47:447,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Saccade,1,13.1609,13.1609,3.1911,218.4674,404.5147,-,-,-,-,0.0000,0.0000,0.0000,-96.4496,-84.8609,653.0557,1098.2668,837.0944,-,-,-,-,-,-,-,-
8464,8464,3181268.831,12:55:47:452,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,1,13.2373,13.2373,3.2120,904.1459,488.3342,-,-,-,-,0.0000,0.0000,0.0000,-94.1207,-84.7083,653.9909,1082.2340,837.2300,-,-,-,-,-,-,-,-
8465,8465,3181288.853,12:55:47:472,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,1,13.2956,13.2956,3.2259,910.0369,483.1444,-,-,-,-,0.0000,0.0000,0.0000,-94.2109,-84.6354,653.9816,1082.3614,837.0733,-,-,-,-,-,-,-,-
8466,8466,3181308.735,12:55:47:492,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,1,13.5739,13.5739,3.2943,906.2150,498.8136,-,-,-,-,0.0000,0.0000,0.0000,-94.2890,-84.6809,654.3639,1082.6157,837.1360,-,-,-,-,-,-,-,-
8467,8467,3181328.59,12:55:47:512,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,1,13.3679,13.3679,3.2469,904.0637,504.5269,-,-,-,-,0.0000,0.0000,0.0000,-94.3415,-84.7277,654.7275,1082.6354,837.2112,-,-,-,-,-,-,-,-
8468,8468,3181348.481,12:55:47:532,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,1,13.2882,13.2882,3.2296,902.1020,512.8349,-,-,-,-,0.0000,0.0000,0.0000,-94.3923,-84.7735,655.0771,1082.7096,837.3142,-,-,-,-,-,-,-,-
8469,8469,3181368.358,12:55:47:552,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Saccade,2,13.2169,13.2169,3.2111,893.6252,511.7128,-,-,-,-,0.0000,0.0000,0.0000,-94.3970,-84.7548,654.7832,1083.1360,837.1560,-,-,-,-,-,-,-,-
8470,8470,3181388.233,12:55:47:572,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,2,13.4289,13.4289,3.2654,681.0469,516.9154,-,-,-,-,0.0000,0.0000,0.0000,-94.8975,-84.9122,655.4348,1086.1758,837.2345,-,-,-,-,-,-,-,-
8471,8471,3181408.105,12:55:47:592,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,2,13.6953,13.6953,3.3329,648.2459,517.0421,-,-,-,-,0.0000,0.0000,0.0000,-95.1274,-85.0385,656.1545,1087.1544,837.5345,-,-,-,-,-,-,-,-
8472,8472,3181427.972,12:55:47:612,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,2,13.4848,13.4848,3.2827,642.9123,506.5673,-,-,-,-,0.0000,0.0000,0.0000,-95.1274,-85.1535,656.1956,1087.1863,837.5765,-,-,-,-,-,-,-,-
8473,8473,3181447.992,12:55:47:632,Trial005,05 punition orale triste vs joie.avi,0.0,15910.161,41,CornflowerBlue,98.5534,Eye,Fixation,2,13.1913,13.1913,3.2131,643.2744,507.2597,-,-,-,-,0.0000,0.0000,0.0000,-95.2009,-85.2082,656.3211,1087.2689,837.5781,-,-,-,-,-,-,-,-
