,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
37542,37542,10703106.315,08:09:12:000,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vnvg151201b1.avi
37543,37543,10703216.226,08:09:12:110,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37544,37544,10703317.222,08:09:12:211,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37545,37545,10703367.025,08:09:12:261,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37546,37546,10703409.33,08:09:12:303,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37547,37547,10703453.459,08:09:12:347,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37548,37548,10703497.467,08:09:12:391,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37549,37549,10703541.469,08:09:12:435,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37550,37550,10703600.931,08:09:12:495,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37551,37551,10703642.253,08:09:12:536,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37552,37552,10703684.802,08:09:12:578,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37553,37553,10703717.76,08:09:12:611,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37554,37554,10703761.697,08:09:12:655,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37555,37555,10703805.697,08:09:12:699,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37556,37556,10703849.816,08:09:12:744,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Blink,Blink,1,1,4.8515,4.5711,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37557,37557,10704038.757,08:09:12:932,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Fixation,Fixation,1,1,4.3054,4.3633,615.1613,383.2576,615.1613,383.2576,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37558,37558,10704058.625,08:09:12:952,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Fixation,Fixation,1,1,4.2789,4.3408,631.0953,395.6159,631.0953,395.6159,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37559,37559,10704078.51,08:09:12:972,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Fixation,Fixation,1,1,4.3815,4.4074,625.0797,387.0655,625.0797,387.0655,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
37560,37560,10704123.531,08:09:13:017,Trial001,01vnvg151201b1.avi,0.0,48853.877,27,DodgerBlue,20.7967,Eye,Fixation,Fixation,1,1,4.3586,4.4148,626.4498,386.1274,626.4498,386.1274,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
