,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
62415,62415,9385724.089,15:36:50:288,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15 devant.jpg
62416,62416,9385741.766,15:36:50:306,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.8919,-23.2721,660.0047,11.2685,-19.1046,659.3996,885.9508,601.0927,667.0284,585.0334,-,-,-,-,-,-,-,-
62417,62417,9385761.64,15:36:50:326,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.8916,-23.2540,660.2909,11.2873,-19.1343,659.5156,885.9243,601.0911,666.9114,585.1905,-,-,-,-,-,-,-,-
62418,62418,9385781.643,15:36:50:346,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.8425,-23.2480,660.5693,11.3184,-19.1887,659.7786,885.6592,601.0746,666.3498,585.1843,-,-,-,-,-,-,-,-
62419,62419,9385801.514,15:36:50:365,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.7431,-23.2970,660.3852,11.3701,-19.1910,659.1509,885.5875,601.1715,666.2357,585.1680,-,-,-,-,-,-,-,-
62420,62420,9385821.392,15:36:50:385,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.6993,-23.3283,660.4359,11.4166,-19.2116,659.2368,885.5056,601.4754,666.2127,585.6176,-,-,-,-,-,-,-,-
62421,62421,9385841.267,15:36:50:405,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.7026,-23.3350,660.6003,11.4609,-19.2301,659.1884,885.3660,601.4731,666.3308,585.5367,-,-,-,-,-,-,-,-
62422,62422,9385861.139,15:36:50:425,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.6752,-23.3529,660.5804,11.5054,-19.2752,659.2725,885.1720,601.4570,665.7128,585.8257,-,-,-,-,-,-,-,-
62423,62423,9385881.017,15:36:50:445,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.6310,-23.3897,660.5473,11.5313,-19.3302,659.6667,884.8189,601.4912,665.5614,585.9129,-,-,-,-,-,-,-,-
62424,62424,9385900.894,15:36:50:465,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.5457,-23.3503,659.9354,11.5467,-19.3757,659.8570,884.5000,601.5000,665.4929,585.9282,-,-,-,-,-,-,-,-
62425,62425,9385920.769,15:36:50:485,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4310,-23.3203,660.1278,11.6795,-19.3478,658.8624,884.5000,601.5000,665.3169,586.0796,-,-,-,-,-,-,-,-
62426,62426,9385940.765,15:36:50:505,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4271,-23.3303,660.4444,11.7799,-19.3608,659.2601,884.2872,601.4505,665.1336,586.1099,-,-,-,-,-,-,-,-
62427,62427,9385960.665,15:36:50:525,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4093,-23.2526,660.7433,11.7655,-19.3161,659.3611,883.9434,601.0872,665.0431,585.8993,-,-,-,-,-,-,-,-
62428,62428,9385980.579,15:36:50:544,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,911.3767,885.4679,911.3767,885.4679,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.6135,-22.6530,660.9945,11.2890,-18.7407,659.4600,885.8729,596.7533,667.7147,581.0441,-,-,-,-,-,-,-,-
62429,62429,9386000.393,15:36:50:564,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,740.7869,685.9038,740.7869,685.9038,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.7625,-22.0716,661.1982,10.8391,-18.2016,659.1839,887.9787,592.1778,671.0873,576.8728,-,-,-,-,-,-,-,-
62430,62430,9386020.263,15:36:50:584,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,-,-,-,-,707.9861,414.6221,707.9861,414.6221,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.9038,-21.8889,661.1735,10.8006,-18.0840,660.1421,888.7729,590.2468,671.7734,574.6017,-,-,-,-,-,-,-,-
62431,62431,9386040.139,15:36:50:604,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,691.1473,403.5082,691.1473,403.5082,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.9314,-22.0700,661.1476,11.0160,-18.2095,660.8274,888.7982,590.8044,671.3960,575.0288,-,-,-,-,-,-,-,-
62432,62432,9386059.996,15:36:50:624,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,693.0950,417.3414,693.0950,417.3414,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.8415,-22.0910,660.6376,11.0449,-18.2412,661.1498,888.7933,591.0616,670.8664,575.4237,-,-,-,-,-,-,-,-
62433,62433,9386079.996,15:36:50:644,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,690.0480,486.7056,690.0480,486.7056,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.8021,-22.1049,660.4464,11.1021,-18.2377,660.9555,888.7684,591.6682,670.6733,575.3395,-,-,-,-,-,-,-,-
62434,62434,9386099.886,15:36:50:664,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,689.4917,470.8958,689.4917,470.8958,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.7002,-22.0942,659.5832,11.2484,-18.3056,661.0379,888.3679,591.5248,670.3449,575.7048,-,-,-,-,-,-,-,-
62435,62435,9386119.755,15:36:50:684,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,693.1294,465.6153,693.1294,465.6153,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.6044,-22.1109,658.8874,11.2812,-18.3367,661.0603,888.2289,591.7284,669.9244,575.6011,-,-,-,-,-,-,-,-
62436,62436,9386139.628,15:36:50:704,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,695.5255,456.7688,695.5255,456.7688,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.5584,-22.0919,658.3129,11.3057,-18.3753,661.3828,888.1460,591.5959,669.8269,575.8002,-,-,-,-,-,-,-,-
62437,62437,9386159.502,15:36:50:723,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,690.9213,472.6779,690.9213,472.6779,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4903,-22.0424,658.4097,11.3666,-18.4197,661.9138,888.1553,591.7472,669.6810,575.6105,-,-,-,-,-,-,-,-
62438,62438,9386179.374,15:36:50:743,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,687.5622,428.3125,687.5622,428.3125,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4937,-22.0437,658.5047,11.4522,-18.4489,661.7492,887.9504,591.2595,669.7257,575.7455,-,-,-,-,-,-,-,-
62439,62439,9386199.254,15:36:50:763,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,690.2090,452.1116,690.2090,452.1116,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4998,-22.0710,658.8607,11.4849,-18.4201,661.3729,887.8378,591.5102,669.2911,575.7638,-,-,-,-,-,-,-,-
62440,62440,9386219.125,15:36:50:783,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,692.5365,453.9813,692.5365,453.9813,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4963,-22.0895,659.0087,11.5150,-18.3828,661.0169,887.5729,591.5599,669.0904,575.7135,-,-,-,-,-,-,-,-
62441,62441,9386239.117,15:36:50:803,Trial015,15 devant.jpg,0.0,2881.871,39,GreenYellow,92.3011,Eye,Fixation,Fixation,1,1,692.8022,453.3271,692.8022,453.3271,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.4987,-22.0786,659.0904,11.5361,-18.3963,661.0135,887.5729,591.5599,669.0954,575.6006,-,-,-,-,-,-,-,-
