,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
41934,41934,891325.016,08:14:21:471,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11 yeux chat d.jpg
41935,41935,891342.931,08:14:21:489,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,15.1298,15.1298,3.5294,14.8286,14.8286,3.4701,630.8069,301.5447,630.8069,301.5447,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.3982,-4.0270,641.6295,45.8020,-7.4415,641.8432,738.1868,517.8662,530.2877,532.1636,-,-,-,-,-,-,-,-
41936,41936,891362.927,08:14:21:509,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,14.8165,14.8165,3.4567,14.9405,14.9405,3.4929,633.0090,297.8879,633.0090,297.8879,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4146,-4.0337,641.5131,45.7520,-7.4345,641.2914,737.9695,517.7620,530.3061,532.2096,-,-,-,-,-,-,-,-
41937,41937,891382.807,08:14:21:529,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,15.1058,15.1058,3.5217,14.9033,14.9033,3.4816,634.6957,303.2190,634.6957,303.2190,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4289,-4.0565,641.2377,45.7131,-7.4300,640.7876,738.0554,518.1229,530.1239,532.2195,-,-,-,-,-,-,-,-
41938,41938,891402.683,08:14:21:549,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,15.4438,15.4438,3.5981,14.8080,14.8080,3.4578,635.4695,305.8101,635.4695,305.8101,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4611,-4.0684,641.0113,45.6597,-7.4393,640.4430,737.9545,518.3839,530.3023,532.1823,-,-,-,-,-,-,-,-
41939,41939,891422.551,08:14:21:569,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,15.0554,15.0554,3.5092,14.6982,14.6982,3.4334,635.6898,305.4823,635.6898,305.4823,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4849,-4.1091,641.0686,45.6382,-7.4625,640.6118,738.3166,518.7205,530.2736,532.1283,-,-,-,-,-,-,-,-
41940,41940,891442.419,08:14:21:588,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,14.8540,14.8540,3.4636,15.0854,15.0854,3.5245,630.5685,312.8682,630.5685,312.8682,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4924,-4.1182,641.1965,45.6490,-7.4698,640.9665,738.4462,518.8460,530.5624,532.4123,-,-,-,-,-,-,-,-
41941,41941,891462.299,08:14:21:608,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,15.3151,15.3151,3.5675,15.0045,15.0045,3.5072,626.7431,297.0658,626.7431,297.0658,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.5234,-4.1306,640.8179,45.6155,-7.4775,641.2287,738.7958,518.0565,530.6821,532.5342,-,-,-,-,-,-,-,-
41942,41942,891482.179,08:14:21:628,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,14.8138,14.8138,3.4497,14.7474,14.7474,3.4486,627.4686,291.5784,627.4686,291.5784,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.5502,-4.1267,640.3262,45.5700,-7.4888,641.3404,738.7592,518.1072,530.8087,532.3703,-,-,-,-,-,-,-,-
41943,41943,891502.177,08:14:21:648,Trial011,11 yeux chat d.jpg,0.0,2881.097,14,DarkViolet,86.7725,Eye,Fixation,Fixation,1,1,15.8719,15.8719,3.6920,14.8978,14.8978,3.4831,623.4349,313.4374,623.4349,313.4374,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.5926,-4.1407,640.2238,45.5576,-7.4753,641.3123,738.9619,519.0220,531.0637,532.3461,-,-,-,-,-,-,-,-
