,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
6717,6717,220967.966,12:53:15:160,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16 voc droite chat.jpg
6718,6718,220976.391,12:53:15:168,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.1925,22.1925,5.6333,21.5124,21.5124,5.4358,653.0095,304.7087,653.0095,304.7087,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.6488,40.7038,698.5177,10.1763,34.8599,696.9821,889.7122,355.2556,676.6038,376.3897,-,-,-,-,-,-,-,-
6719,6719,220996.27,12:53:15:188,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.1738,22.1738,5.6267,21.6748,21.6748,5.4808,650.7975,310.1675,650.7975,310.1675,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.6527,40.6909,698.2832,10.1614,34.8709,697.5380,889.7436,355.4790,676.8356,376.3642,-,-,-,-,-,-,-,-
6720,6720,221016.282,12:53:15:208,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,21.9045,21.9045,5.5529,21.6329,21.6329,5.4749,651.8018,304.5369,651.8018,304.5369,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.6387,40.6650,697.5096,10.1606,34.9012,698.1234,889.8430,355.0389,676.8329,376.2729,-,-,-,-,-,-,-,-
6721,6721,221036.157,12:53:15:228,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.0907,22.0907,5.5908,21.7544,21.7544,5.5060,651.9076,306.0441,651.9076,306.0441,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.6179,40.6593,696.4047,10.1355,34.9261,698.2102,890.0000,355.0000,676.8938,376.1730,-,-,-,-,-,-,-,-
6722,6722,221056.017,12:53:15:248,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.0349,22.0349,5.5709,21.7636,21.7636,5.5033,652.8932,303.5725,652.8932,303.5725,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.5829,40.7171,695.6531,10.0861,34.9350,697.5680,890.0497,354.6532,677.0207,375.7984,-,-,-,-,-,-,-,-
6723,6723,221076.015,12:53:15:268,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,21.9223,21.9223,5.5435,21.8301,21.8301,5.5144,652.1090,304.2968,652.1090,304.2968,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.6383,40.7997,695.7558,10.0318,35.0602,696.8633,890.3217,354.2582,677.0824,375.4112,-,-,-,-,-,-,-,-
6724,6724,221095.881,12:53:15:288,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.0894,22.0894,5.5971,21.6931,21.6931,5.4780,650.2453,302.0748,650.2453,302.0748,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.8061,40.9829,697.1984,10.0049,35.1375,696.5805,890.5739,353.8161,677.3111,375.0157,-,-,-,-,-,-,-,-
6725,6725,221115.761,12:53:15:308,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.0326,22.0326,5.5828,21.6673,21.6673,5.4698,649.2632,299.4118,649.2632,299.4118,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.9149,41.1267,697.1860,9.9522,35.1737,696.3544,890.8722,353.3998,677.5852,374.6172,-,-,-,-,-,-,-,-
6726,6726,221135.754,12:53:15:328,Trial016,16 voc droite chat.jpg,0.0,2895.865,48,Crimson,97.3802,Eye,Fixation,Fixation,1,1,22.2845,22.2845,5.6467,21.9098,21.9098,5.5347,647.4337,301.5166,647.4337,301.5166,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.0174,41.1611,697.2587,9.8264,35.3488,696.8978,891.3968,353.1226,677.9473,374.5314,-,-,-,-,-,-,-,-
