,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
8689,8689,1983040.675,12:34:19:433,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,neutre visage gris.jpg
8690,8690,1983070.345,12:34:19:463,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Blink,-,1,-,0.0000,0.0000,2.6625,0.0000,0.0000,2.7827,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
8691,8691,1983228.268,12:34:19:621,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Blink,Fixation,1,1,0.0000,0.0000,2.6625,14.5052,14.5052,3.0510,689.6238,555.2366,689.6238,555.2366,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9057,-26.3293,577.6343,0.0000,0.0000,709.0087,620.0201,-,-,-,-,-,-,-,-
8692,8692,1983248.138,12:34:19:640,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,14.7428,14.7428,3.1136,14.5010,14.5010,3.0521,684.8733,553.3845,684.8733,553.3845,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.4955,-19.9085,577.9166,0.8958,-26.3392,578.0116,952.7971,591.2999,709.0139,620.0684,-,-,-,-,-,-,-,-
8693,8693,1983268.135,12:34:19:660,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,13.8951,13.8951,2.9377,14.4558,14.4558,3.0446,680.5896,547.3915,680.5896,547.3915,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5145,-19.9268,578.0280,0.8940,-26.3560,578.3588,953.0357,590.7361,709.0621,620.0680,-,-,-,-,-,-,-,-
8694,8694,1983288.007,12:34:19:680,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,13.8857,13.8857,2.9365,14.3479,14.3479,3.0238,678.8567,541.1060,678.8567,541.1060,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5243,-19.9390,578.1816,0.8903,-26.3695,578.6783,953.0591,590.6804,709.0237,619.9984,-,-,-,-,-,-,-,-
8695,8695,1983307.884,12:34:19:700,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,14.0563,14.0563,2.9725,14.4609,14.4609,3.0489,677.0894,536.4257,677.0894,536.4257,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5367,-19.9764,578.2691,0.8893,-26.3826,578.9812,953.1463,590.6987,709.0487,620.0242,-,-,-,-,-,-,-,-
8696,8696,1983327.76,12:34:19:720,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,14.2865,14.2865,3.0212,14.5988,14.5988,3.0791,676.9101,537.7634,676.9101,537.7634,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5451,-19.9897,578.4160,0.8887,-26.4116,579.2753,952.9353,591.0333,709.1086,620.1015,-,-,-,-,-,-,-,-
8697,8697,1983347.64,12:34:19:740,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,14.6589,14.6589,3.0992,14.3452,14.3452,3.0274,677.7556,540.4709,677.7556,540.4709,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5447,-20.0054,578.4776,0.8847,-26.4513,579.4663,952.6843,591.3904,709.1700,620.2377,-,-,-,-,-,-,-,-
8698,8698,1983367.523,12:34:19:760,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,13.5900,13.5900,2.8767,13.9558,13.9558,2.9474,675.8899,531.0940,675.8899,531.0940,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5482,-20.0058,578.5296,0.8855,-26.4609,579.6501,952.9366,590.6688,709.3282,620.0307,-,-,-,-,-,-,-,-
8699,8699,1983387.383,12:34:19:780,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,13.2110,13.2110,2.7983,14.1347,14.1347,2.9863,676.6328,531.3056,676.6328,531.3056,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5655,-19.9973,578.6603,0.8970,-26.4611,579.9757,952.7127,590.7160,709.2223,620.1330,-,-,-,-,-,-,-,-
8700,8700,1983407.25,12:34:19:800,Trial002,02 neutre visage gris.jpg,0.0,5995.625,Unidentified(Neg),CornflowerBlue,97.7379,Eye,Fixation,Fixation,1,1,13.5665,13.5665,2.8747,13.7689,13.7689,2.9118,675.5930,533.0499,675.5930,533.0499,neutre fichier b,neutre fichier b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.5800,-20.0051,579.1207,0.8990,-26.4756,580.3040,952.6577,591.0616,709.3450,620.0525,-,-,-,-,-,-,-,-
