,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
42565,42565,906022.569,08:14:36:169,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16 voc droite chat.jpg
42566,42566,906038.99,08:14:36:185,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,20.9379,20.9379,4.8906,18.6482,18.6482,4.3810,603.6003,330.2884,603.6003,330.2884,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.6796,-3.0274,644.8986,41.7086,-5.0994,646.5537,755.2592,514.6858,547.6864,523.1990,-,-,-,-,-,-,-,-
42567,42567,906058.862,08:14:36:205,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,20.8275,20.8275,4.8615,18.3443,18.3443,4.3138,603.0999,324.3127,603.0999,324.3127,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.6354,-3.1071,644.4251,41.7658,-5.1650,647.0615,755.1246,514.6942,547.5767,523.3613,-,-,-,-,-,-,-,-
42568,42568,906078.741,08:14:36:225,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,21.4568,21.4568,5.0025,18.5208,18.5208,4.3540,604.8249,326.9906,604.8249,326.9906,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.5766,-3.1644,643.8558,41.7980,-5.2298,646.9272,754.9001,514.9148,547.2373,523.6366,-,-,-,-,-,-,-,-
42569,42569,906098.625,08:14:36:245,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,21.8496,21.8496,5.0923,18.1406,18.1406,4.2610,605.5718,320.6465,605.5718,320.6465,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.5430,-3.1787,643.7494,41.7918,-5.2817,646.2197,754.8149,515.2315,547.0553,523.1838,-,-,-,-,-,-,-,-
42570,42570,906118.484,08:14:36:265,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,22.2627,22.2627,5.1894,18.5521,18.5521,4.3528,604.8585,336.4818,604.8585,336.4818,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.5206,-3.1830,643.9687,41.8096,-5.2924,645.6708,754.3919,515.6434,547.2925,523.5240,-,-,-,-,-,-,-,-
42571,42571,906138.361,08:14:36:285,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,21.9649,21.9649,5.1224,19.0396,19.0396,4.4668,606.3832,339.6817,606.3832,339.6817,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.4519,-3.2255,644.1859,41.8664,-5.3059,645.8023,754.2830,515.4834,546.7991,523.8910,-,-,-,-,-,-,-,-
42572,42572,906158.229,08:14:36:305,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Fixation,Fixation,1,1,21.7484,21.7484,5.0725,18.5668,18.5668,4.3590,609.3779,324.8234,609.3779,324.8234,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.4169,-3.2305,644.2077,41.9658,-5.3044,646.0736,754.1453,514.9679,546.3309,523.7105,-,-,-,-,-,-,-,-
42573,42573,906178.238,08:14:36:325,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Saccade,Saccade,1,1,22.0557,22.0557,5.1423,18.9226,18.9226,4.4395,609.6180,341.6810,609.6180,341.6810,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.4015,-3.2352,644.0566,41.9102,-5.3419,645.7749,754.0805,515.4487,546.6032,524.0824,-,-,-,-,-,-,-,-
42574,42574,906198.104,08:14:36:345,Trial016,16 voc droite chat.jpg,0.0,2878.746,14,DarkViolet,57.664,Eye,Saccade,Saccade,1,1,22.7885,22.7885,5.3095,19.6394,19.6394,4.6060,398.9183,637.8084,398.9183,637.8084,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.6391,-3.7805,643.7997,41.3121,-5.8711,645.8326,756.8827,520.3042,550.9383,528.4600,-,-,-,-,-,-,-,-
