,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
70710,70710,11199368.088,08:17:09:039,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18 au revoir.jpg
70711,70711,11199385.331,08:17:09:056,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,581.0092,252.4342,581.0092,252.4342,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.5740,23.7176,647.8467,-67.9859,21.4430,652.4826,1207.8667,409.5088,981.4227,419.4834,-,-,-,-,-,-,-,-
70712,70712,11199405.336,08:17:09:076,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,579.6921,250.7538,579.6921,250.7538,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.7034,23.7427,648.5196,-68.0326,21.5071,653.1218,1207.8029,409.3436,981.3769,419.4991,-,-,-,-,-,-,-,-
70713,70713,11199425.217,08:17:09:096,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,581.7466,255.3747,581.7466,255.3747,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.6729,23.6279,648.3370,-68.0220,21.4414,652.9854,1207.7296,410.0994,981.3997,419.6468,-,-,-,-,-,-,-,-
70714,70714,11199445.1,08:17:09:116,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,580.9980,247.3498,580.9980,247.3498,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.6948,23.5308,648.2740,-68.0635,21.2724,652.7452,1208.1020,410.0578,981.5753,420.1174,-,-,-,-,-,-,-,-
70715,70715,11199464.954,08:17:09:136,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,581.1283,256.8615,581.1283,256.8615,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.6973,23.3559,648.3021,-68.0881,21.2140,652.9091,1208.0402,411.1942,981.5479,420.6231,-,-,-,-,-,-,-,-
70716,70716,11199484.828,08:17:09:156,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,581.0342,252.1661,581.0342,252.1661,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.6527,23.1993,647.9146,-68.0628,20.9955,652.9542,1208.0845,411.5491,981.4698,421.3458,-,-,-,-,-,-,-,-
70717,70717,11199504.71,08:17:09:176,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,578.0788,252.5541,578.0788,252.5541,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.5731,23.0627,647.9146,-68.0022,20.9262,652.8106,1207.9695,412.0901,981.4667,421.6557,-,-,-,-,-,-,-,-
70718,70718,11199524.575,08:17:09:195,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,580.8202,253.7451,580.8202,253.7451,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.7121,23.0167,648.5673,-68.0175,20.8679,653.4420,1207.6112,412.5058,981.1619,422.0377,-,-,-,-,-,-,-,-
70719,70719,11199544.453,08:17:09:215,Trial018,18 au revoir.jpg,0.0,2891.547,27,DarkOliveGreen,29.7419,Eye,Fixation,Fixation,1,1,585.7963,251.2472,585.7963,251.2472,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.7554,22.9513,648.8934,-68.0704,20.8315,653.9935,1207.5225,412.6832,980.8776,422.1461,-,-,-,-,-,-,-,-
