,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
63505,63505,10190626.331,15:50:15:244,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 voc devant.jpg
63506,63506,10190635.952,15:50:15:254,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,10.3651,10.3651,2.6921,9.4188,9.4188,2.4649,703.8910,383.7598,703.8910,383.7598,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3699,-47.9291,708.1225,72.1722,-40.3570,709.0708,659.0328,679.5825,452.7374,651.2034,-,-,-,-,-,-,-,-
63507,63507,10190655.822,15:50:15:273,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.7202,9.7202,2.5240,9.5306,9.5306,2.4947,698.4847,372.1879,698.4847,372.1879,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2586,-47.8548,707.0251,72.1515,-40.3790,709.4072,659.3855,679.1867,453.3532,651.0461,-,-,-,-,-,-,-,-
63508,63508,10190675.709,15:50:15:293,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.7531,9.7531,2.5339,9.6600,9.6600,2.5251,700.5061,378.0874,700.5061,378.0874,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1617,-47.8404,707.4494,72.0190,-40.2796,708.6552,659.4658,679.1543,453.5371,651.0278,-,-,-,-,-,-,-,-
63509,63509,10190695.582,15:50:15:313,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,10.1773,10.1773,2.6449,9.5396,9.5396,2.4955,700.5014,381.3506,700.5014,381.3506,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1615,-47.8962,708.2907,71.9491,-40.2511,709.0074,659.8196,679.1607,453.6572,650.9018,-,-,-,-,-,-,-,-
63510,63510,10190715.462,15:50:15:333,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,10.0295,10.0295,2.6113,9.7740,9.7740,2.5567,698.4633,375.5827,698.4633,375.5827,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1734,-47.9311,709.3925,71.9794,-40.2634,709.3444,659.8814,678.8495,453.8363,650.8396,-,-,-,-,-,-,-,-
63511,63511,10190735.448,15:50:15:353,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.9262,9.9262,2.5844,9.4321,9.4321,2.4699,701.7855,370.5366,701.7855,370.5366,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0842,-47.9574,709.2251,71.9791,-40.2314,709.5431,659.9501,678.8809,453.9036,650.5622,-,-,-,-,-,-,-,-
63512,63512,10190755.332,15:50:15:373,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,10.2200,10.2200,2.6561,9.8044,9.8044,2.5686,700.7724,377.7027,700.7724,377.7027,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0296,-47.8899,708.3912,72.0652,-40.3285,710.4899,660.0413,679.1216,454.0870,650.8109,-,-,-,-,-,-,-,-
63513,63513,10190775.196,15:50:15:393,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.9519,9.9519,2.5829,9.5264,9.5264,2.4965,696.9019,377.3682,696.9019,377.3682,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9691,-47.8138,707.0425,71.9884,-40.3707,710.2603,660.3302,679.1546,454.3393,650.9472,-,-,-,-,-,-,-,-
63514,63514,10190795.08,15:50:15:413,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.7969,9.7969,2.5410,9.5264,9.5264,2.4954,693.9186,369.9600,693.9186,369.9600,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9475,-47.8359,706.3414,71.9503,-40.3563,709.9363,660.4914,679.1391,454.3393,650.9472,-,-,-,-,-,-,-,-
63515,63515,10190814.952,15:50:15:433,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.7531,9.7531,2.5308,9.5220,9.5220,2.4916,699.9346,376.8174,699.9346,376.8174,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8779,-47.7882,706.5943,71.7982,-40.3102,709.1720,660.4658,679.1543,454.4503,650.9350,-,-,-,-,-,-,-,-
63516,63516,10190834.826,15:50:15:452,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.7531,9.7531,2.5327,9.6982,9.6982,2.5340,700.5476,375.2653,700.5476,375.2653,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8475,-47.8617,707.1285,71.7203,-40.2648,708.4346,660.4658,679.1543,454.5310,650.9370,-,-,-,-,-,-,-,-
63517,63517,10190854.745,15:50:15:472,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.9164,9.9164,2.5761,9.6982,9.6982,2.5345,702.1932,374.8627,702.1932,374.8627,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8586,-47.8966,707.6563,71.6689,-40.2490,708.5706,660.6250,679.1457,454.5310,650.9370,-,-,-,-,-,-,-,-
63518,63518,10190874.593,15:50:15:492,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,1,1,9.9943,9.9943,2.5979,9.6106,9.6106,2.5133,701.4700,377.9585,701.4700,377.9585,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8690,-47.9302,708.1855,71.6600,-40.2387,708.9287,660.8125,679.2645,454.7109,650.8333,-,-,-,-,-,-,-,-
63519,63519,10190894.589,15:50:15:512,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Saccade,Saccade,1,1,10.1162,10.1162,2.6287,9.4313,9.4313,2.4681,695.8244,376.8987,695.8244,376.8987,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7864,-47.9105,708.1306,71.6606,-40.1788,709.1195,661.0830,679.1900,455.1069,650.5462,-,-,-,-,-,-,-,-
63520,63520,10190914.459,15:50:15:532,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7708,9.7708,2.5415,9.5883,9.5883,2.5063,610.6032,285.2750,610.6032,285.2750,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6381,-47.8839,708.3197,71.3655,-40.1386,708.5970,662.2858,678.3450,456.5000,649.9656,-,-,-,-,-,-,-,-
63521,63521,10190934.328,15:50:15:552,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.9350,9.9350,2.5844,9.5831,9.5831,2.5080,607.4595,282.7728,607.4595,282.7728,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6070,-47.8406,708.6407,71.3819,-40.1823,709.4399,662.5565,678.2750,456.5926,649.8056,-,-,-,-,-,-,-,-
63522,63522,10190954.196,15:50:15:572,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7531,9.7531,2.5396,9.6413,9.6413,2.5207,604.0676,282.8379,604.0676,282.8379,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6106,-47.8287,709.0515,71.3642,-40.0902,708.8348,662.5342,678.1543,456.5270,649.6178,-,-,-,-,-,-,-,-
63523,63523,10190974.062,15:50:15:592,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.8046,9.8046,2.5537,9.6719,9.6719,2.5262,599.5448,290.9171,599.5448,290.9171,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6223,-47.8874,709.3462,71.3004,-40.0095,708.1646,662.5112,678.1454,456.6372,649.8024,-,-,-,-,-,-,-,-
63524,63524,10190993.948,15:50:15:612,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7531,9.7531,2.5419,9.4868,9.4868,2.4765,600.2376,287.2092,600.2376,287.2092,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6251,-47.8733,709.7164,71.2367,-39.9694,707.5063,662.5342,678.1543,456.5000,649.5000,-,-,-,-,-,-,-,-
63525,63525,10191013.819,15:50:15:631,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7531,9.7531,2.5431,9.4233,9.4233,2.4581,599.4619,284.6635,599.4619,284.6635,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6309,-47.8927,710.0309,71.1754,-39.9311,706.8706,662.5342,678.1543,456.5125,649.3836,-,-,-,-,-,-,-,-
63526,63526,10191033.697,15:50:15:651,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7949,9.7949,2.5560,9.4868,9.4868,2.4741,597.4325,293.5480,597.4325,293.5480,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6607,-47.9126,710.6612,71.2021,-39.8808,706.8162,662.5000,678.1429,456.5000,649.5000,-,-,-,-,-,-,-,-
63527,63527,10191053.695,15:50:15:671,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7949,9.7949,2.5584,9.3611,9.3611,2.4419,598.6927,297.0817,598.6927,297.0817,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6410,-47.9069,711.3474,71.1969,-39.8763,706.7745,662.5000,678.1429,456.4330,649.3511,-,-,-,-,-,-,-,-
63528,63528,10191073.56,15:50:15:691,Trial010,9 voc devant.jpg,0.0,2893.686,39,Khaki,100.0,Eye,Fixation,Fixation,2,2,9.7544,9.7544,2.5504,9.3611,9.3611,2.4418,598.6678,299.4953,598.6678,299.4953,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6549,-47.9462,711.9803,71.1926,-39.8707,706.7317,662.5341,678.1555,456.4330,649.3511,-,-,-,-,-,-,-,-
