,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
41526,41526,407743.162,15:48:49:617,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82a56e4a3aa3c436ab2933e5780f4321_1280x1024.jpg
41527,41527,407753.354,15:48:49:627,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,561.2377,327.8657,572.4013,286.7424,-,-,-,-,-,-,-,-,-0.0113,0.4822,-0.876,-0.0731,0.4702,-0.8795,44.7875,-59.1046,535.2885,-5.5709,-60.0591,535.1472,439.1674,765.6271,666.0579,770.2453,0,-,-,-,-,-,-,-,-
41528,41528,407770.053,15:48:49:644,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,560.4834,329.3362,574.0457,288.1543,-,-,-,-,-,-,-,-,-0.0211,0.4849,-0.8743,-0.0717,0.4724,-0.8785,44.8786,-59.0882,534.813,-5.4802,-60.0617,534.9558,438.7978,765.7165,665.6303,770.2987,0,-,-,-,-,-,-,-,-
41529,41529,407786.751,15:48:49:661,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,561.1009,331.2706,573.7516,294.9699,-,-,-,-,-,-,-,-,-0.0178,0.4858,-0.8739,-0.0762,0.4671,-0.8809,45.0357,-59.1545,535.2865,-5.3421,-60.0292,534.4195,438.2025,765.7667,665.1373,770.5391,0,-,-,-,-,-,-,-,-
41530,41530,407803.45,15:48:49:677,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,560.5848,333.9732,574.7196,298.8752,-,-,-,-,-,-,-,-,-0.0206,0.4849,-0.8743,-0.0749,0.4653,-0.882,45.1958,-59.1937,535.3589,-5.2198,-60.1364,534.9019,437.5742,765.9296,664.5373,770.8277,0,-,-,-,-,-,-,-,-
41531,41531,407820.148,15:48:49:694,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,561.8098,336.4542,574.4163,300.3912,-,-,-,-,-,-,-,-,-0.0165,0.4842,-0.8748,-0.0777,0.4679,-0.8803,45.3352,-59.1981,535.3135,-5.058,-60.0675,534.0405,436.8415,765.9865,663.9142,770.8758,0,-,-,-,-,-,-,-,-
41532,41532,407836.847,15:48:49:711,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,561.5306,338.2688,575.5327,302.5816,-,-,-,-,-,-,-,-,-0.0203,0.484,-0.8748,-0.0763,0.4676,-0.8807,45.5222,-59.2397,535.6796,-4.9303,-60.1065,534.2182,436.2268,766.0021,663.3012,770.9726,0,-,-,-,-,-,-,-,-
41533,41533,407853.545,15:48:49:727,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,560.9759,339.4817,576.6814,304.0818,-,-,-,-,-,-,-,-,-0.0224,0.4854,-0.874,-0.0736,0.4688,-0.8802,45.6649,-59.2116,535.5744,-4.7978,-60.0719,534.0648,435.5947,765.8942,662.6548,770.8653,0,-,-,-,-,-,-,-,-
41534,41534,407870.244,15:48:49:744,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,562.2135,340.6823,576.6722,306.8883,-,-,-,-,-,-,-,-,-0.0186,0.4862,-0.8736,-0.0785,0.464,-0.8824,45.82,-59.2172,535.827,-4.6551,-59.9453,533.2025,434.9155,765.7778,662.1583,770.8302,0,-,-,-,-,-,-,-,-
41535,41535,407886.942,15:48:49:761,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,563.9809,341.7821,576.0686,308.4398,-,-,-,-,-,-,-,-,-0.015,0.4803,-0.877,-0.0754,0.4638,-0.8827,45.9321,-59.1581,535.7589,-4.5624,-59.8759,532.9776,434.304,765.6854,661.6823,770.6331,0,-,-,-,-,-,-,-,-
41536,41536,407903.64,15:48:49:777,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,563.8953,341.8846,575.4787,308.6356,-,-,-,-,-,-,-,-,-0.0203,0.483,-0.8754,-0.076,0.4665,-0.8812,46.0016,-59.1003,535.3796,-4.4593,-59.8333,532.7874,433.9648,765.5448,661.2397,770.4703,0,-,-,-,-,-,-,-,-
41537,41537,407920.339,15:48:49:794,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,1,1,564.0024,342.5315,575.1757,309.9682,-,-,-,-,-,-,-,-,-0.0219,0.48,-0.877,-0.0771,0.465,-0.8819,46.0813,-59.0716,535.0865,-4.3644,-59.7784,532.3377,433.5268,765.627,660.8549,770.4793,0,-,-,-,-,-,-,-,-
41538,41538,407937.037,15:48:49:811,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Saccade,Fixation,1,1,564.0466,342.2872,575.9208,311.3289,-,-,-,-,-,-,-,-,-0.0161,0.4824,-0.8758,-0.072,0.4644,-0.8827,46.2121,-59.1954,535.8925,-4.3153,-59.7869,532.4269,433.1293,765.7389,660.5169,770.4899,0,-,-,-,-,-,-,-,-
41539,41539,407953.736,15:48:49:828,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Saccade,2,1,629.4486,344.7928,617.6626,313.5994,-,-,-,-,-,-,-,-,0.0257,0.4749,-0.8797,-0.0363,0.4613,-0.8865,46.3863,-59.1973,535.5848,-4.098,-59.8017,532.4604,431.306,766.068,658.7513,770.6211,0,-,-,-,-,-,-,-,-
41540,41540,407970.434,15:48:49:844,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,2,2,638.295,350.1232,639.9003,318.9322,-,-,-,-,-,-,-,-,0.0254,0.4681,-0.8833,-0.0315,0.4508,-0.8921,46.4973,-59.2715,535.5731,-4.0057,-59.8346,532.4844,430.8047,766.5669,658.2293,771.004,0,-,-,-,-,-,-,-,-
41541,41541,407987.127,15:48:49:861,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,2,2,633.3418,354.9378,642.377,321.5065,-,-,-,-,-,-,-,-,0.0201,0.467,-0.884,-0.0334,0.4534,-0.8907,46.5278,-59.2855,535.2354,-3.9804,-59.8366,532.2822,430.6498,766.8174,658.1649,771.0518,0,-,-,-,-,-,-,-,-
41542,41542,408003.819,15:48:49:878,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,2,2,643.1451,357.789,646.0045,326.0723,-,-,-,-,-,-,-,-,0.0271,0.4689,-0.8829,-0.0326,0.4518,-0.8915,46.543,-59.3126,535.0125,-3.9263,-59.7488,531.0949,430.3421,767.0016,657.9451,771.2785,0,-,-,-,-,-,-,-,-
41543,41543,408020.511,15:48:49:894,Trial007,6 devant point chien D.png,0,2898.816,31,Navy,89.1168,Eye,Fixation,Fixation,2,2,643.922,359.1531,647.8897,329.5642,-,-,-,-,-,-,-,-,0.0257,0.4716,-0.8815,-0.0325,0.4517,-0.8916,46.5629,-59.3304,534.9856,-3.8863,-59.7194,530.6347,430.275,767.0309,657.7795,771.3739,0,-,-,-,-,-,-,-,-
