,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
12620,12620,3265542.26,12:57:11:726,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b joie triste.jpg
12621,12621,3265545.402,12:57:11:729,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,1,13.3120,13.3120,3.4592,544.4450,489.2905,joie gauche,,Local,6,0.0000,0.0000,0.0000,-97.9247,-85.5769,701.4760,1074.6796,818.1328,-,-,-,-,-,-,-,-
12622,12622,3265565.283,12:57:11:749,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,1,12.9672,12.9672,3.3698,590.8412,513.1648,White Space,,Local,7,0.0000,0.0000,0.0000,-98.3253,-85.4385,701.1844,1075.1794,817.9764,-,-,-,-,-,-,-,-
12623,12623,3265585.161,12:57:11:769,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,1,13.1745,13.1745,3.4195,607.5143,485.4621,White Space,,Local,7,0.0000,0.0000,0.0000,-98.2539,-85.3919,700.5063,1075.2143,817.8182,-,-,-,-,-,-,-,-
12624,12624,3265605.037,12:57:11:789,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,1,13.3069,13.3069,3.4467,623.9670,500.2268,White Space,,Local,7,0.0000,0.0000,0.0000,-98.1114,-85.2032,699.1468,1075.1929,818.2221,-,-,-,-,-,-,-,-
12625,12625,3265624.899,12:57:11:809,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,1,13.2504,13.2504,3.4377,535.2686,496.7961,joie gauche,,Local,6,0.0000,0.0000,0.0000,-97.7615,-85.4343,700.3067,1075.3020,818.1774,-,-,-,-,-,-,-,-
12626,12626,3265644.785,12:57:11:829,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,1,13.1351,13.1351,3.4136,537.8487,491.7475,joie gauche,,Local,6,0.0000,0.0000,0.0000,-97.9169,-85.5701,701.4202,1075.0819,817.9854,-,-,-,-,-,-,-,-
12627,12627,3265664.653,12:57:11:848,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,1,13.3227,13.3227,3.4669,532.2572,494.9726,joie gauche,,Local,6,0.0000,0.0000,0.0000,-98.0662,-85.7005,702.4891,1075.1624,817.9865,-,-,-,-,-,-,-,-
12628,12628,3265684.527,12:57:11:868,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,1,13.1044,13.1044,3.4160,528.4494,497.8022,joie gauche,,Local,6,0.0000,0.0000,0.0000,-98.2094,-85.8257,703.5153,1075.0716,817.9614,-,-,-,-,-,-,-,-
12629,12629,3265704.517,12:57:11:888,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,1,13.3229,13.3229,3.4769,530.7049,486.5258,joie gauche,,Local,6,0.0000,0.0000,0.0000,-98.3469,-85.9459,704.5004,1074.7256,818.0736,-,-,-,-,-,-,-,-
12630,12630,3265724.402,12:57:11:908,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,2,13.2359,13.2359,3.4591,531.8680,482.5690,joie gauche,,Local,6,0.0000,0.0000,0.0000,-98.4790,-86.0612,705.4461,1074.6295,817.9051,-,-,-,-,-,-,-,-
12631,12631,3265744.274,12:57:11:928,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,2,13.2610,13.2610,3.4606,619.3818,493.2714,White Space,,Local,7,0.0000,0.0000,0.0000,-98.6043,-85.8364,704.3946,1074.4419,817.9051,-,-,-,-,-,-,-,-
12632,12632,3265764.152,12:57:11:948,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,2,13.2155,13.2155,3.4461,626.3577,490.5997,White Space,,Local,7,0.0000,0.0000,0.0000,-98.5021,-85.7598,703.8365,1074.3040,818.0340,-,-,-,-,-,-,-,-
12633,12633,3265784.025,12:57:11:968,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,2,13.1830,13.1830,3.4301,618.0242,474.0728,White Space,,Local,7,0.0000,0.0000,0.0000,-98.1744,-85.6706,702.2716,1074.3481,817.7465,-,-,-,-,-,-,-,-
12634,12634,3265803.891,12:57:11:988,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Saccade,2,13.3128,13.3128,3.4682,525.6969,470.2836,joie gauche,,Local,6,0.0000,0.0000,0.0000,-97.9059,-85.8003,703.3072,1074.2650,817.7284,-,-,-,-,-,-,-,-
12635,12635,3265823.774,12:57:12:008,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,2,13.1963,13.1963,3.4333,619.2717,498.9141,White Space,,Local,7,0.0000,0.0000,0.0000,-98.2012,-85.4277,702.2555,1074.1564,817.7679,-,-,-,-,-,-,-,-
12636,12636,3265843.68,12:57:12:027,Trial012,12 b joie triste - copie.jpg,0.0,5990.182,41,CornflowerBlue,100.0,Eye,Fixation,2,13.5281,13.5281,3.5108,623.5481,507.3345,White Space,,Local,7,0.0000,0.0000,0.0000,-97.9615,-85.2163,700.7600,1073.7408,817.6784,-,-,-,-,-,-,-,-
