,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
43988,43988,13429414.706,13:17:59:141,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17 voc devant.jpg
43989,43989,13429418.227,13:17:59:145,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,18.4632,18.4632,4.0951,20.4016,20.4016,4.6185,127.1627,1038.8034,127.1627,1038.8034,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.9684,-28.6232,609.2378,6.5310,-30.8897,624.1483,914.9328,630.2246,690.6359,636.2167,-,-,-,-,-,-,-,-
43990,43990,13429438.093,13:17:59:164,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.9162,17.9162,3.9655,19.6515,19.6515,4.4491,0.0159,0.0000,0.0159,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.0533,-27.2065,607.9520,8.4020,-29.5004,624.0055,909.5247,626.5885,684.8004,632.2747,-,-,-,-,-,-,-,-
43991,43991,13429457.979,13:17:59:184,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.4483,17.4483,3.8470,19.5522,19.5522,4.4224,0.0079,0.0000,0.0079,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.7226,-29.2690,605.1633,6.3996,-31.6563,623.2846,920.2473,637.1032,694.5922,642.3837,-,-,-,-,-,-,-,-
43992,43992,13429477.87,13:17:59:204,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.6732,17.6732,3.8760,19.7420,19.7420,4.4550,0.0052,0.0000,0.0052,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.6297,-29.2640,602.0369,6.4076,-31.6788,621.8990,921.7505,637.6521,695.3717,642.7528,-,-,-,-,-,-,-,-
43993,43993,13429497.721,13:17:59:224,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.8776,17.8776,3.9046,19.8564,19.8564,4.4750,0.0039,0.0000,0.0039,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.6702,-29.3816,599.6044,6.4534,-31.7918,621.1218,922.7193,638.7484,695.7123,643.8534,-,-,-,-,-,-,-,-
43994,43994,13429517.604,13:17:59:244,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.5480,17.5480,3.8186,19.8699,19.8699,4.4683,0.0031,0.0000,0.0031,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.8224,-29.7326,597.2309,6.3401,-32.0903,619.7661,924.0746,640.6688,695.9109,645.1604,-,-,-,-,-,-,-,-
43995,43995,13429537.477,13:17:59:264,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.8624,17.8624,3.8725,19.7486,19.7486,4.4311,0.0025,0.0000,0.0025,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.0817,-30.1129,595.0625,6.1214,-32.4717,618.3164,926.0428,643.0456,696.6978,646.9651,-,-,-,-,-,-,-,-
43996,43996,13429557.343,13:17:59:284,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.7026,17.7026,3.8248,19.9056,19.9056,4.4562,0.0021,0.0000,0.0021,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3609,-30.5398,592.9281,5.8706,-32.8466,616.9448,928.0366,644.9083,698.2160,649.0655,-,-,-,-,-,-,-,-
43997,43997,13429577.228,13:17:59:304,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.5678,17.5678,3.7831,19.9497,19.9497,4.4559,0.0018,0.0000,0.0018,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.6734,-30.9115,590.8346,5.5987,-33.2019,615.5346,930.2118,646.9541,698.9928,650.7543,-,-,-,-,-,-,-,-
43998,43998,13429597.091,13:17:59:323,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.4311,17.4311,3.7424,19.0590,19.0590,4.2494,0.0016,0.0000,0.0016,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.9121,-31.1796,589.0388,5.1609,-33.7214,614.1095,932.8943,651.1579,701.2542,655.3055,-,-,-,-,-,-,-,-
43999,43999,13429617.096,13:17:59:343,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,-,-,-,-,17.3471,17.3471,3.7138,19.7966,19.7966,4.4023,0.0014,0.0000,0.0014,0.0000,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.0069,-31.3174,587.3143,4.9503,-33.9488,612.7408,934.9500,652.2054,702.4962,655.9774,-,-,-,-,-,-,-,-
44000,44000,13429636.971,13:17:59:363,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,18.2145,18.2145,3.8866,19.3412,19.3412,4.2924,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.1057,-31.6860,585.6579,4.7886,-34.1627,611.3435,936.2448,653.7977,703.1691,657.6141,-,-,-,-,-,-,-,-
44001,44001,13429656.838,13:17:59:383,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,17.6229,17.6229,3.7517,19.1152,19.1152,4.2314,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.9805,-31.8278,584.0676,4.7243,-34.3516,609.6810,938.3166,655.0768,703.4442,658.6344,-,-,-,-,-,-,-,-
44002,44002,13429676.72,13:17:59:403,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,16.9872,16.9872,3.6099,19.2614,19.2614,4.2540,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.5884,-31.9716,582.5366,1.8661,-34.5600,608.3347,951.7808,656.2411,715.0746,659.3014,-,-,-,-,-,-,-,-
44003,44003,13429696.596,13:17:59:423,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,17.9968,17.9968,3.8108,19.8519,19.8519,4.3672,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.7446,-32.1178,581.0707,4.7981,-34.6853,606.1131,940.9841,658.3353,703.1809,660.9467,-,-,-,-,-,-,-,-
44004,44004,13429716.47,13:17:59:443,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,0.0000,0.0000,3.7960,19.1053,19.1053,4.1930,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.4076,-32.2661,579.6634,4.9391,-34.9070,604.4095,0.0000,0.0000,702.2585,662.3208,-,-,-,-,-,-,-,-
44005,44005,13429736.358,13:17:59:463,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,0.0000,0.0000,3.7960,20.2750,20.2750,4.4341,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.0760,-32.6421,578.3123,5.1852,-35.1388,602.6474,0.0000,0.0000,701.6318,663.6142,-,-,-,-,-,-,-,-
44006,44006,13429756.23,13:17:59:483,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,0.0000,0.0000,3.7960,20.2040,20.2040,4.4027,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.5515,-32.9532,575.8884,5.4672,-35.4112,600.4330,0.0000,0.0000,700.0406,665.2596,-,-,-,-,-,-,-,-
44007,44007,13429776.229,13:17:59:503,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,0.0000,0.0000,3.7960,19.2131,19.2131,4.1746,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.1206,-33.3342,574.6882,5.6884,-35.8182,598.3345,0.0000,0.0000,699.0771,668.0372,-,-,-,-,-,-,-,-
44008,44008,13429796.091,13:17:59:522,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,0.0000,0.0000,3.7960,20.2478,20.2478,4.3820,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.8355,-33.8705,572.4087,5.8831,-36.3713,596.2567,0.0000,0.0000,698.5662,670.8628,-,-,-,-,-,-,-,-
44009,44009,13429815.966,13:17:59:542,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,21.3192,21.3192,4.4392,20.0380,20.0380,4.3219,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.8355,-33.8705,572.4087,5.9484,-37.0936,594.1164,943.8073,670.3354,698.1043,674.1126,-,-,-,-,-,-,-,-
44010,44010,13429835.84,13:17:59:562,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,21.6494,21.6494,4.5073,19.3688,19.3688,4.1631,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.8355,-33.8705,572.4087,5.8836,-37.6761,591.8030,945.4977,673.0496,697.8747,677.9403,-,-,-,-,-,-,-,-
44011,44011,13429855.713,13:17:59:582,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,0.0000,0.0000,4.0249,20.3755,20.3755,4.3616,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3380,-37.7440,570.2120,3.0271,-40.0946,589.5656,0.0000,0.0000,710.4714,688.7051,-,-,-,-,-,-,-,-
44012,44012,13429875.716,13:17:59:602,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,21.3988,21.3988,4.4421,20.6502,20.6502,4.4045,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3380,-37.7440,570.2120,5.6733,-38.7765,587.5836,949.0069,676.7437,699.8529,683.9481,-,-,-,-,-,-,-,-
44013,44013,13429895.591,13:17:59:622,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,22.9593,22.9593,4.7628,21.0336,21.0336,4.4670,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3380,-37.7440,570.2120,5.5397,-39.2323,585.1224,950.2426,679.1214,699.7996,686.3389,-,-,-,-,-,-,-,-
44014,44014,13429915.463,13:17:59:642,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,22.9599,22.9599,4.7630,20.4875,20.4875,4.3370,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3380,-37.7440,570.2120,5.3749,-39.6211,583.0423,952.1646,680.9551,700.2795,689.2515,-,-,-,-,-,-,-,-
44015,44015,13429935.336,13:17:59:662,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,23.1196,23.1196,4.7958,21.3817,21.3817,4.5082,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3380,-37.7440,570.2120,4.3242,-42.7481,580.7427,958.1659,695.2448,705.1852,703.1464,-,-,-,-,-,-,-,-
44016,44016,13429955.34,13:17:59:682,Trial018,17 voc devant.jpg,0.0,2884.975,38,Firebrick,56.153,Eye,Blink,Blink,1,1,23.9672,23.9672,4.9700,20.6867,20.6867,4.3444,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.3380,-37.7440,570.2120,5.0580,-40.3183,578.4107,955.4811,684.7335,701.6827,693.5160,-,-,-,-,-,-,-,-
