,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
58589,58589,1467894.745,11:33:14:836,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 tete chien g.jpg
58590,58590,1467905.977,11:33:14:847,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,679.4376,718.5319,679.4376,718.5319,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.6648,27.1656,639.9413,93.6585,28.5194,648.9532,573.1453,398.1660,344.2869,393.6083,-,-,-,-,-,-,-,-
58591,58591,1467925.979,11:33:14:867,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,678.9252,725.1110,678.9252,725.1110,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.8507,27.2838,641.0681,93.8385,28.4887,649.0607,572.6971,398.0032,343.6198,393.7771,-,-,-,-,-,-,-,-
58592,58592,1467945.877,11:33:14:887,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,684.0093,735.3275,684.0093,735.3275,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.9284,27.2481,641.0713,93.7491,28.4550,647.7588,572.2653,397.9712,343.0931,394.2053,-,-,-,-,-,-,-,-
58593,58593,1467965.74,11:33:14:907,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,674.3689,736.3079,674.3689,736.3079,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.1618,27.3325,642.1498,93.9002,28.4016,647.5475,571.7890,397.9337,342.6715,394.1712,-,-,-,-,-,-,-,-
58594,58594,1467985.613,11:33:14:927,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,683.4628,716.7225,683.4628,716.7225,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.2967,27.3169,642.1537,94.0664,28.3986,647.8996,570.9969,397.9340,341.9980,393.5898,-,-,-,-,-,-,-,-
58595,58595,1468005.486,11:33:14:947,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,680.5904,731.2358,680.5904,731.2358,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.4800,27.3482,642.7887,94.1767,28.2886,647.1293,570.4943,397.8931,341.2332,394.4408,-,-,-,-,-,-,-,-
58596,58596,1468025.36,11:33:14:967,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,680.5288,739.4531,680.5288,739.4531,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.7614,27.4042,643.8048,94.4177,28.3439,647.6526,569.7743,397.8695,340.4732,394.6630,-,-,-,-,-,-,-,-
58597,58597,1468045.229,11:33:14:986,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,678.5083,737.2290,678.5083,737.2290,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.9987,27.3516,643.8848,94.7393,28.2434,647.9870,568.8556,398.0679,339.6646,394.8902,-,-,-,-,-,-,-,-
58598,58598,1468065.111,11:33:15:006,Trial004,4 tete chien G.jpg,0.0,2895.438,31,Green,100.0,Eye,Fixation,Fixation,1,1,681.1901,758.5203,681.1901,758.5203,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.2837,27.2943,644.5291,95.0467,28.1321,648.5233,567.6516,398.7743,338.5843,395.8948,-,-,-,-,-,-,-,-
