,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],groupe d'enfants,Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
117480,117480,1003258.03,08:16:43:000,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vnvg151201b1.avi
117481,117481,1003283.66,08:16:43:026,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,-,-,-,-,0.0000,0.0000,4.2345,0.0000,0.0000,3.4121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
117482,117482,1003439.12,08:16:43:181,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,-,-,-,-,22.4483,22.4483,5.0428,19.0077,19.0077,4.3261,356.1870,11.9478,356.1870,11.9478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.5139,-10.3732,619.5670,14.9183,-12.6582,627.5300,870.7167,540.8488,654.2349,551.2140,-,-,-,-,-,-,-,-
117483,117483,1003458.983,08:16:43:201,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,22.1228,22.1228,4.9691,17.1272,17.1272,3.8948,353.3816,19.2423,353.3816,19.2423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.4486,-10.2632,619.4149,14.9059,-12.6679,626.2357,870.1090,542.0410,654.1590,551.0172,-,-,-,-,-,-,-,-
117484,117484,1003478.966,08:16:43:221,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,21.3868,21.3868,4.8026,18.0748,18.0748,4.1003,353.2620,105.8818,353.2620,105.8818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.4229,-7.2455,619.1545,15.9676,-9.5899,625.1442,866.1416,529.8147,649.5334,539.3278,-,-,-,-,-,-,-,-
117485,117485,1003498.844,08:16:43:241,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,21.6752,21.6752,4.8657,17.9545,17.9545,4.0707,351.4061,69.8112,351.4061,69.8112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.2600,-10.1081,618.9404,15.0631,-12.5039,624.7035,869.6545,541.2234,653.2734,551.2356,-,-,-,-,-,-,-,-
117486,117486,1003518.701,08:16:43:261,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,21.4555,21.4555,4.8157,17.1431,17.1431,3.8845,358.2811,44.7711,358.2811,44.7711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.1558,-10.1050,618.7888,15.0884,-12.5671,624.0034,868.8887,541.0750,652.8765,551.2041,-,-,-,-,-,-,-,-
117487,117487,1003538.578,08:16:43:281,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,21.0379,21.0379,4.7193,17.2155,17.2155,3.8954,349.4604,79.3808,349.4604,79.3808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.0043,-10.0883,618.3280,15.2208,-12.6347,623.1371,868.5088,541.6039,652.9646,551.5556,-,-,-,-,-,-,-,-
117488,117488,1003558.445,08:16:43:300,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,20.4008,20.4008,4.5770,17.1564,17.1564,3.8799,353.2581,54.1039,353.2581,54.1039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.8819,-10.0955,618.2306,15.2651,-12.6675,622.7715,868.1096,541.2785,652.2177,551.4789,-,-,-,-,-,-,-,-
117489,117489,1003578.322,08:16:43:320,Trial001,01vnvg151201b1.avi,0.0,48832.784,TS,14,LawnGreen,54.062,Eye,Fixation,Fixation,1,1,20.4253,20.4253,4.5784,16.2639,16.2639,3.6786,352.2362,60.8388,352.2362,60.8388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.7018,-10.0867,617.6958,15.3882,-12.6763,622.4507,867.3147,541.2893,651.9695,551.6472,-,-,-,-,-,-,-,-
