,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
105593,105593,688480.851,17:35:54:073,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20ea2ccd488a6ceae3bf695a1ed8459a_1280x1024.jpg
105594,105594,688508.26,17:35:54:100,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105595,105595,688524.955,17:35:54:117,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105596,105596,688541.65,17:35:54:134,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105597,105597,688558.345,17:35:54:150,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105598,105598,688575.04,17:35:54:167,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105599,105599,688591.735,17:35:54:184,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105600,105600,688608.43,17:35:54:201,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105601,105601,688625.125,17:35:54:217,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105602,105602,688641.82,17:35:54:234,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105603,105603,688658.516,17:35:54:251,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105604,105604,688675.211,17:35:54:267,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105605,105605,688691.906,17:35:54:284,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105606,105606,688708.601,17:35:54:301,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105607,105607,688725.296,17:35:54:317,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105608,105608,688741.991,17:35:54:334,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105609,105609,688758.686,17:35:54:351,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105610,105610,688775.381,17:35:54:368,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105611,105611,688792.076,17:35:54:384,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105612,105612,688808.771,17:35:54:401,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105613,105613,688825.466,17:35:54:418,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
105614,105614,688842.162,17:35:54:434,Trial023,B joie Triste.jpg,0,5994.968,59,Cyan,60.6064,Eye,Blink,Blink,1,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
