,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],groupe d'enfants,Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
86506,86506,827106.614,11:45:02:000,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vnvg151201b1.avi
86507,86507,827139.83,11:45:02:033,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86508,86508,827183.843,11:45:02:077,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86509,86509,827227.951,11:45:02:121,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86510,86510,827271.962,11:45:02:165,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86511,86511,827315.952,11:45:02:209,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86512,86512,827360.092,11:45:02:253,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86513,86513,827404.081,11:45:02:297,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4861,0.0000,0.0000,2.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
86514,86514,827592.782,11:45:02:486,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Fixation,Fixation,1,1,15.5287,15.5287,3.3921,12.8281,12.8281,2.9187,611.7089,415.4967,611.7089,415.4967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.0747,-68.9647,596.9678,38.7451,-68.6605,619.2992,771.1833,798.9033,554.5151,786.6348,-,-,-,-,-,-,-,-
86515,86515,827612.814,11:45:02:506,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Fixation,Fixation,1,1,15.3797,15.3797,3.3675,12.5073,12.5073,2.8512,619.3688,414.8895,619.3688,414.8895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.9754,-68.9998,598.3260,38.9608,-68.6955,620.2277,770.3815,798.6262,553.8182,786.1530,-,-,-,-,-,-,-,-
86516,86516,827675.09,11:45:02:568,Trial001,01vnvg151201b1.avi,0.0,48823.154,TS,20,DeepPink,60.4222,Eye,Fixation,Fixation,1,1,15.2481,15.2481,3.3488,12.7565,12.7565,2.9096,620.6224,419.7566,620.6224,419.7566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.1425,-69.3198,600.0461,38.9059,-68.8127,620.7747,771.1108,798.7662,554.0573,787.0917,-,-,-,-,-,-,-,-
