,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
58643,58643,1583143.149,12:14:34:092,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a083ab3b4d7c6e63c12f3b51307da008.avi
58644,58644,1583157.78,12:14:34:107,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.3338,14.3338,3.4467,583.3706,358.3434,-,-,-,-,0.1528,0.3983,-0.9045,-44.3761,-82.1734,584.6386,818.3223,840.3277,0,-,-,-,-,-,-,-,-
58645,58645,1583174.476,12:14:34:123,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.2105,14.2105,3.4493,584.219,358.0466,-,-,-,-,0.1495,0.3986,-0.9049,-44.3875,-82.289,585.5445,818.1557,840.2832,0,-,-,-,-,-,-,-,-
58646,58646,1583191.168,12:14:34:140,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.2493,14.2493,3.4527,582.0697,359.0292,-,-,-,-,0.141,0.3947,-0.9079,-44.2822,-82.1924,585.104,818.0342,840.223,0,-,-,-,-,-,-,-,-
58647,58647,1583207.859,12:14:34:157,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.0837,14.0837,3.4483,584.6783,360.2598,-,-,-,-,0.1528,0.3929,-0.9068,-44.2457,-82.1796,585.1579,817.6306,840.1735,0,-,-,-,-,-,-,-,-
58648,58648,1583224.551,12:14:34:173,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.1118,14.1118,3.4458,586.9711,361.3333,-,-,-,-,0.153,0.3949,-0.9059,-44.1691,-82.1542,585.1299,817.3215,840.0414,0,-,-,-,-,-,-,-,-
58649,58649,1583241.242,12:14:34:190,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.2446,14.2446,3.4493,589.5389,360.9212,-,-,-,-,0.1551,0.3969,-0.9046,-44.108,-82.0809,584.8064,817.1253,839.8808,0,-,-,-,-,-,-,-,-
58650,58650,1583257.934,12:14:34:207,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.0601,14.0601,3.4439,587.7011,360.5437,-,-,-,-,0.1492,0.4022,-0.9033,-44.0518,-82.0473,584.6508,817.0593,839.7214,0,-,-,-,-,-,-,-,-
58651,58651,1583274.626,12:14:34:223,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.1725,14.1725,3.4443,589.4675,360.8562,-,-,-,-,0.1515,0.3996,-0.9041,-44.0423,-82.035,584.5999,816.9911,839.7542,0,-,-,-,-,-,-,-,-
58652,58652,1583291.317,12:14:34:240,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.15,14.15,3.4431,590.8499,359.6752,-,-,-,-,0.1517,0.4004,-0.9037,-44.0218,-81.957,584.0584,817.0688,839.7234,0,-,-,-,-,-,-,-,-
58653,58653,1583308.009,12:14:34:257,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.1196,14.1196,3.4407,594.4408,361.0471,-,-,-,-,0.1583,0.3954,-0.9048,-44.0675,-81.9467,583.9845,817.1484,839.8273,0,-,-,-,-,-,-,-,-
58654,58654,1583324.701,12:14:34:274,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.0784,14.0784,3.4373,593.6385,362.2092,-,-,-,-,0.1504,0.3955,-0.9061,-44.1621,-82.0145,584.3218,817.5917,839.9152,0,-,-,-,-,-,-,-,-
58655,58655,1583341.392,12:14:34:290,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.2468,14.2468,3.4419,592.5183,363.1363,-,-,-,-,0.1487,0.395,-0.9066,-44.2608,-82.0274,584.2824,818.0447,840.0028,0,-,-,-,-,-,-,-,-
58656,58656,1583358.084,12:14:34:307,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.1252,14.1252,3.4404,593.8143,363.4455,-,-,-,-,0.153,0.3965,-0.9052,-44.4368,-82.0675,584.4438,818.6286,840.0411,0,-,-,-,-,-,-,-,-
58657,58657,1583374.776,12:14:34:324,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.3019,14.3019,3.4481,593.8274,363.2274,-,-,-,-,0.148,0.3959,-0.9063,-44.6395,-82.239,585.3814,819.2695,840.2286,0,-,-,-,-,-,-,-,-
58658,58658,1583391.467,12:14:34:340,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.2819,14.2819,3.4531,591.5517,363.6709,-,-,-,-,0.1454,0.3934,-0.9078,-44.7657,-82.1942,585.0093,819.956,840.3093,0,-,-,-,-,-,-,-,-
58659,58659,1583408.159,12:14:34:357,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.103,14.103,3.4495,590.4114,361.5294,-,-,-,-,0.1478,0.4009,-0.9041,-44.9492,-82.2764,585.1536,820.609,840.4034,0,-,-,-,-,-,-,-,-
58660,58660,1583424.85,12:14:34:374,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.3348,14.3348,3.4567,590.4121,362.0486,-,-,-,-,0.1529,0.397,-0.905,-45.0964,-82.2826,585.0795,821.1342,840.5528,0,-,-,-,-,-,-,-,-
58661,58661,1583441.542,12:14:34:390,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.132,14.132,3.4539,590.2546,360.5836,-,-,-,-,0.1516,0.4034,-0.9024,-45.2433,-82.3418,585.2914,821.6917,840.5387,0,-,-,-,-,-,-,-,-
58662,58662,1583458.234,12:14:34:407,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.325,14.325,3.4598,591.3463,361.0051,-,-,-,-,0.1561,0.3994,-0.9034,-45.3831,-82.3179,585.0452,822.2527,840.663,0,-,-,-,-,-,-,-,-
58663,58663,1583474.925,12:14:34:424,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.3816,14.3816,3.4673,588.9163,359.6272,-,-,-,-,0.1479,0.4027,-0.9033,-45.4971,-82.322,585.1112,822.8624,840.5772,0,-,-,-,-,-,-,-,-
58664,58664,1583491.617,12:14:34:440,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.5466,14.5466,3.4804,591.349,359.1915,-,-,-,-,0.1612,0.3989,-0.9027,-45.6116,-82.2785,584.8632,823.1428,840.612,0,-,-,-,-,-,-,-,-
58665,58665,1583508.309,12:14:34:457,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.4148,14.4148,3.4855,588.0629,356.3302,-,-,-,-,0.148,0.4037,-0.9028,-45.7135,-82.3045,584.9927,823.7843,840.5503,0,-,-,-,-,-,-,-,-
58666,58666,1583525.0,12:14:34:474,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.4725,14.4725,3.4914,590.691,356.1103,-,-,-,-,0.1566,0.3993,-0.9033,-45.7645,-82.2026,584.2382,824.0621,840.6496,0,-,-,-,-,-,-,-,-
58667,58667,1583541.692,12:14:34:491,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.4873,14.4873,3.4971,590.91,355.8718,-,-,-,-,0.1562,0.3981,-0.9039,-45.8445,-82.2087,584.4696,824.3249,840.569,0,-,-,-,-,-,-,-,-
58668,58668,1583558.384,12:14:34:507,Trial018,VNVD151207.avi,0,49107.471,30,DarkViolet,92.043,Eye,Fixation,1,14.5045,14.5045,3.5025,588.83,356.1382,-,-,-,-,0.1483,0.3966,-0.9059,-45.8857,-82.2042,584.4625,824.6563,840.5904,0,-,-,-,-,-,-,-,-
