,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
244778,244778,1214777.959,12:08:25:727,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fa1ed67ab34b602ad5123d3b50925423_1280x1024.jpg
244779,244779,1214782.124,12:08:25:731,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-23.2,344.4941,-13.4541,442.449,-,-,-,-,-,-,-,-,-0.1254,0.3594,-0.9247,-0.1573,0.3398,-0.9272,-38.2258,-74.0943,610.5908,-87.7552,-81.6964,616.7882,791.8886,795.3409,983.3394,822.3646,0,-,-,-,-,-,-,-,-
244780,244780,1214798.819,12:08:25:748,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-26.8683,343.1636,-21.5401,436.058,-,-,-,-,-,-,-,-,-0.1241,0.3617,-0.924,-0.1568,0.3462,-0.9249,-38.1694,-74.3353,610.1788,-87.783,-81.6706,616.9109,791.7447,796.4337,983.3644,822.0744,0,-,-,-,-,-,-,-,-
244781,244781,1214815.513,12:08:25:765,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-41.7114,347.377,-14.4306,421.5231,-,-,-,-,-,-,-,-,-0.1314,0.3576,-0.9246,-0.1497,0.3551,-0.9228,-38.1059,-74.6436,610.473,-87.7703,-81.6173,616.8965,791.5626,797.5862,983.1815,821.7015,0,-,-,-,-,-,-,-,-
244782,244782,1214832.208,12:08:25:781,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-47.4114,346.1098,-27.3195,432.5158,-,-,-,-,-,-,-,-,-0.1323,0.3607,-0.9233,-0.1564,0.3502,-0.9235,-37.9978,-74.9105,610.6191,-87.7771,-81.6111,617.388,791.1173,798.5021,983.0622,821.5229,0,-,-,-,-,-,-,-,-
244783,244783,1214848.903,12:08:25:798,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-46.9891,348.2335,-31.4124,423.6666,-,-,-,-,-,-,-,-,-0.129,0.3612,-0.9235,-0.1568,0.3568,-0.9209,-37.8809,-75.2266,611.2811,-87.6822,-81.5306,617.5601,790.4308,799.419,982.5991,820.9905,0,-,-,-,-,-,-,-,-
244784,244784,1214865.598,12:08:25:815,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
244785,244785,1214882.292,12:08:25:831,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-52.0984,358.4572,-34.6168,425.6798,-,-,-,-,-,-,-,-,-0.1329,0.3519,-0.9266,-0.1577,0.3565,-0.9209,-37.4776,-75.5911,611.734,-87.3066,-81.3133,617.3016,788.8173,800.8167,981.3028,820.2832,0,-,-,-,-,-,-,-,-
244786,244786,1214898.987,12:08:25:848,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-56.7493,364.3174,-31.5079,429.2582,-,-,-,-,-,-,-,-,-0.1365,0.3499,-0.9268,-0.1518,0.3553,-0.9224,-37.1526,-75.7751,611.3602,-86.9924,-81.2062,616.9395,787.7043,801.755,980.1757,820.0781,0,-,-,-,-,-,-,-,-
244787,244787,1214915.682,12:08:25:865,Trial027,B Triste Joie.jpg,0,5997.944,30,DimGray,39.7358,Eye,-,Saccade,-,1,-56.7576,370.084,-26.8996,430.7077,-,-,-,-,-,-,-,-,-0.1333,0.3493,-0.9275,-0.1453,0.3557,-0.9233,-36.7534,-75.972,610.8266,-86.7343,-81.2416,617.2761,786.2087,802.7965,978.8645,820.0412,0,-,-,-,-,-,-,-,-
